ticker,subsector,name
ARE,office,Alexandria Real Estate Equity
BXP,office,Boston Properties
BDN,office,Brandywine Rlty
CMCT,office,CIM Commercial Trust
CIO,office,City Office REIT
CXP,office,Columbia Property Trust Inc
OFC,office,Corporate Office Properties
CUZ,office,Cousins Property
DEI,office,Douglas Emmett
DEA,office,Easterly Government Properties
ESRT,office,Empire State Realty Trust
EQC,office,Equity Commonwealth
FSP,office,Franklin Street Properties
HIW,office,Highwoods Prop
HPP,office,Hudson Pacific Properties
KRC,office,Kilroy Realty
NYC,office,New York City REIT
OPI,office,Office Properties Income Trust
PGRE,office,Paramount Group
PDM,office,Piedmont Office Realty Trust Cl A
SLG,office,SL Green Realty
COLD,industrial,Americold Realty Trust
DRE,industrial,Duke Realty Corp
EGP,industrial,Eastgroup Properties
FR,industrial,First Industrial Realty Trust
ILPT,industrial,Industrial Logistics Properties Trust
INDT,industrial,INDUS Realty Trust Inc
IIPR,industrial,Innovative Industrial Properties
LXP,industrial,Lexington Realty Trust
MNR,industrial,Monmouth REIT Cl A
PLYM,industrial,Plymouth Industrial REIT
PLD,industrial,Prologis
PSB,industrial,PS Business Parks
REXR,industrial,Rexford Industrial Realty
STAG,industrial,STAG Industrial
TRNO,industrial,Terreno Realty
AKR,shopping centers,Acadia Realty
AFIN,shopping centers,American Finance Trust
BRX,shopping centers,Brixmor Property Group
CDR,shopping centers,Cedar Realty Trust
FRT,shopping centers,Federal Realty Invs
KIM,shopping centers,Kimco Realty Cp
KRG,shopping centers,Kite Realty Group Trust
REG,shopping centers,Regency Centers
ROIC,shopping centers,Retail Opportunity
RPAI,shopping centers,Retail Properties of America
RVI,shopping centers,Retail Value
RPT,shopping centers,RPT Realty
BFS,shopping centers,Saul Centers
SITC,shopping centers,SITE Centers
SKT,shopping centers,Tanger Factory Outlet Center
UE,shopping centers,Urban Edge Properties
UBA,shopping centers,Urstadt Biddle Pptys
WRI,shopping centers,Weingarten Realty Investors
WHLR,shopping centers,Wheeler Real Estate Investment Trust Inc
WSR,shopping centers,Whitestone REIT
BPYU,regional malls,Brookfield Property
MAC,regional malls,Macerich
PEI,regional malls,Pennsylvania Real Estate Investment Trust
SPG,regional malls,Simon Property Group
WPG,regional malls,Washington Prime Group Inc
ADC,free standing,Agree Realty
PINE,free standing,Alpine Income Property Trust
