Date,Close,Open,High,Low,Change
1979-12-27,1.1057,1.1057,1.1057,1.1057,0.0005
1979-12-28,1.1062,1.1062,1.1062,1.1062,0.0005
1979-12-31,1.1066,1.1066,1.1066,1.1066,0.0004
1980-01-02,1.1085,1.1085,1.1085,1.1085,0.0017000000000000001
1980-01-03,1.11,1.11,1.11,1.11,0.0014000000000000002
1980-01-04,1.1101,1.1101,1.1101,1.1101,0.0001
1980-01-07,1.1138,1.1138,1.1138,1.1138,0.0033
1980-01-08,1.1131,1.1131,1.1131,1.1131,-0.0006
1980-01-09,1.1136,1.1136,1.1136,1.1136,0.0004
1980-01-10,1.1128,1.1128,1.1128,1.1128,-0.0007000000000000001
1980-01-11,1.1116,1.1116,1.1116,1.1116,-0.0011
1980-01-14,1.1117,1.1117,1.1117,1.1117,0.0001
1980-01-15,1.1125,1.1125,1.1125,1.1125,0.0007000000000000001
1980-01-16,1.1115,1.1115,1.1115,1.1115,-0.0009
1980-01-17,1.1106,1.1106,1.1106,1.1106,-0.0008
1980-01-18,1.1105,1.1105,1.1105,1.1105,-0.0001
1980-01-21,1.1098,1.1098,1.1098,1.1098,-0.0006
1980-01-22,1.1096,1.1096,1.1096,1.1096,-0.0002
1980-01-23,1.1125,1.1125,1.1125,1.1125,0.0026
1980-01-24,1.1098,1.1098,1.1098,1.1098,-0.0024
1980-01-25,1.1091,1.1091,1.1091,1.1091,-0.0006
1980-01-28,1.1079,1.1079,1.1079,1.1079,-0.0011
1980-01-29,1.1064,1.1064,1.1064,1.1064,-0.0014000000000000002
1980-01-30,1.1064,1.1064,1.1064,1.1064,0.0
1980-01-31,1.1071,1.1071,1.1071,1.1071,0.0006
1980-02-01,1.106,1.106,1.106,1.106,-0.001
1980-02-04,1.1069,1.1069,1.1069,1.1069,0.0008
1980-02-05,1.1078,1.1078,1.1078,1.1078,0.0008
1980-02-06,1.1086,1.1086,1.1086,1.1086,0.0007000000000000001
1980-02-07,1.1093,1.1093,1.1093,1.1093,0.0006
1980-02-08,1.1077,1.1077,1.1077,1.1077,-0.0014000000000000002
1980-02-11,1.1077,1.1077,1.1077,1.1077,0.0
1980-02-12,1.1083,1.1083,1.1083,1.1083,0.0005
1980-02-13,1.1071,1.1071,1.1071,1.1071,-0.0011
1980-02-14,1.1062,1.1062,1.1062,1.1062,-0.0008
1980-02-15,1.1102,1.1102,1.1102,1.1102,0.0036
1980-02-18,1.1072,1.1072,1.1072,1.1072,-0.0027
1980-02-19,1.1039,1.1039,1.1039,1.1039,-0.003
1980-02-20,1.1038,1.1038,1.1038,1.1038,-0.0001
1980-02-21,1.1033,1.1033,1.1033,1.1033,-0.0005
1980-02-22,1.1011,1.1011,1.1011,1.1011,-0.002
1980-02-25,1.1002,1.1002,1.1002,1.1002,-0.0008
1980-02-26,1.0994,1.0994,1.0994,1.0994,-0.0007000000000000001
1980-02-27,1.0995,1.0995,1.0995,1.0995,0.0001
1980-02-28,1.0995,1.0995,1.0995,1.0995,0.0
1980-02-29,1.0969,1.0969,1.0969,1.0969,-0.0024
1980-03-03,1.0971,1.0971,1.0971,1.0971,0.0002
1980-03-04,1.0979,1.0979,1.0979,1.0979,0.0007000000000000001
1980-03-05,1.0979,1.0979,1.0979,1.0979,0.0
1980-03-06,1.0953,1.0953,1.0953,1.0953,-0.0024
1980-03-07,1.0957,1.0957,1.0957,1.0957,0.0004
1980-03-10,1.0945,1.0945,1.0945,1.0945,-0.0011
1980-03-11,1.0963,1.0963,1.0963,1.0963,0.0016
1980-03-12,1.0958,1.0958,1.0958,1.0958,-0.0005
1980-03-13,1.0942,1.0942,1.0942,1.0942,-0.0015
1980-03-14,1.0939,1.0939,1.0939,1.0939,-0.0003
