Date,Close,Open,High,Low,Volume,Change
2017-08-15,347000,347700,352700,335000,41120.0,-0.002
2017-08-16,341500,347000,349700,335500,23520.0,-0.0159
2017-08-17,550000,341500,566000,335500,559840.0,0.6104999999999999
2017-08-18,788000,549100,883000,472000,1730000.0,0.43270000000000003
2017-08-19,921200,790000,1358000,723000,1490000.0,0.16899999999999998
2017-08-20,824700,920000,1020000,776000,839020.0,-0.1048
2017-08-21,681400,824600,876000,642800,739810.0,-0.17379999999999998
2017-08-22,771400,679000,855600,636900,758810.0,0.1321
2017-08-23,741900,769600,814800,724400,292130.0,-0.0382
2017-08-24,711100,742000,786200,700000,166560.0,-0.0415
2017-08-25,729000,711100,754900,701300,173840.0,0.0252
2017-08-26,710000,729900,732500,705600,89300.0,-0.026099999999999998
2017-08-27,692000,710500,749900,665700,242330.0,-0.0254
2017-08-28,672200,692000,701500,662000,101100.0,-0.0286
2017-08-29,620100,672200,676200,583500,156830.0,-0.0775
2017-08-30,641200,620000,684500,600000,278310.0,0.034
2017-08-31,653000,641700,679700,635800,170350.0,0.0184
2017-09-01,682500,653700,718000,650000,172440.0,0.0452
2017-09-02,636200,682600,725000,600300,167290.0,-0.0678
2017-09-03,690000,635500,690000,620900,128340.0,0.08460000000000001
2017-09-04,587600,692000,692000,563700,132300.0,-0.1484
2017-09-05,618800,589700,639000,500000,154200.0,0.053099999999999994
2017-09-06,707900,618500,728900,604900,426460.0,0.14400000000000002
2017-09-07,733000,709700,802600,662700,784460.0,0.0355
2017-09-08,696000,733000,775000,653500,507250.0,-0.050499999999999996
2017-09-09,667100,696000,696000,646400,135010.0,-0.0415
2017-09-10,635600,667000,667200,584000,263710.0,-0.0472
2017-09-11,634700,632500,681300,630100,165350.0,-0.0014000000000000002
2017-09-12,604200,634700,644100,600700,105520.0,-0.0481
2017-09-13,585000,607000,611000,552000,245980.0,-0.0318
2017-09-14,408400,585100,595000,400000,265440.0,-0.3019
2017-09-15,485000,409000,530200,340100,765280.0,0.18760000000000002
2017-09-16,497800,485300,527800,462100,309020.0,0.0264
2017-09-17,489300,497900,503500,462300,211970.0,-0.0171
2017-09-18,537300,489300,554000,489200,430400.0,0.0981
2017-09-19,592800,537500,627000,498000,845530.0,0.1033
2017-09-20,533900,593300,599300,526300,766510.0,-0.09939999999999999
2017-09-21,471100,534000,543900,461900,366330.0,-0.1176
2017-09-22,474200,471100,494300,456100,244830.0,0.0066
2017-09-23,484700,474500,492400,463200,137030.0,0.022099999999999998
2017-09-24,474900,484800,492500,474900,79770.0,-0.0202
2017-09-25,496600,473900,504300,472700,193500.0,0.045700000000000005
2017-09-26,496100,496500,518000,495400,168010.0,-0.001
2017-09-27,513900,495800,516200,491700,147050.0,0.0359
2017-09-28,501300,513600,526900,466000,258140.0,-0.0245
