Date,Close,Open,High,Low,Volume,Change
2018-11-19,231.92,297.19,297.23,224.0,74110.0,-0.2198
2018-11-20,227.16,231.38,257.0,193.7,100450.0,-0.020499999999999997
2018-11-21,236.94,228.0,251.07,218.19,58320.0,0.0431
2018-11-22,210.23,237.66,241.17,209.88,33600.0,-0.1127
2018-11-23,210.44,210.58,215.1,197.85,52830.0,0.001
2018-11-24,180.8,210.2,219.56,176.5,52330.0,-0.1408
2018-11-25,188.2,181.52,197.21,155.52,95170.0,0.0409
2018-11-26,184.86,188.2,224.52,172.34,184800.0,-0.0177
2018-11-27,181.74,184.83,200.53,172.53,82290.0,-0.0169
2018-11-28,190.76,181.74,199.92,178.01,53300.0,0.0496
2018-11-29,181.18,190.01,192.29,175.66,26330.0,-0.050199999999999995
2018-11-30,173.15,182.61,188.78,167.35,34170.0,-0.0443
2018-12-01,172.93,173.15,178.24,166.96,27790.0,-0.0013
2018-12-02,171.69,172.93,180.34,169.93,20430.0,-0.0072
2018-12-03,158.67,171.79,172.27,156.37,17710.0,-0.0758
2018-12-04,148.59,158.67,159.97,147.07,27160.0,-0.0635
2018-12-05,129.83,148.82,148.82,129.5,36710.0,-0.1263
2018-12-06,106.65,130.09,132.49,106.52,73300.0,-0.17850000000000002
2018-12-07,104.66,106.78,119.27,96.01,242590.0,-0.0187
2018-12-08,99.9,104.91,109.56,95.65,94520.0,-0.0455
2018-12-09,106.56,99.95,109.94,98.5,139260.0,0.0667
2018-12-10,102.23,106.51,108.5,99.86,46640.0,-0.0406
2018-12-11,96.54,102.19,102.19,93.34,24970.0,-0.0557
2018-12-12,97.06,95.95,99.02,95.84,25430.0,0.0054
2018-12-13,87.84,97.06,97.17,86.92,31090.0,-0.095
2018-12-14,80.1,87.85,89.33,76.79,69890.0,-0.08810000000000001
2018-12-15,76.84,80.04,82.17,74.09,43280.0,-0.0407
2018-12-16,79.78,76.75,82.38,76.75,80750.0,0.0383
2018-12-17,88.28,79.69,91.31,79.0,148980.0,0.1065
2018-12-18,103.38,88.05,104.78,85.29,198790.0,0.171
2018-12-19,125.49,104.02,144.46,100.95,641430.0,0.2139
2018-12-20,190.55,125.24,199.5,121.3,973390.0,0.5184000000000001
2018-12-21,191.74,189.82,226.45,171.3,832840.0,0.0062
2018-12-22,194.27,192.55,204.43,180.47,339160.0,0.0132
2018-12-23,195.25,194.08,208.32,186.16,239090.0,0.005
2018-12-24,179.47,195.0,211.35,175.31,290370.0,-0.0808
2018-12-25,169.02,178.37,180.53,150.0,320490.0,-0.0582
2018-12-26,173.34,169.99,184.47,161.23,304480.0,0.0256
2018-12-27,146.06,172.09,175.2,143.33,185160.0,-0.1574
2018-12-28,170.5,146.55,174.08,139.4,265970.0,0.1673
