Date,Close,Open,High,Low,Volume,Change
2017-05-23,3206000,3104000,3281000,3081000,21580.0,0.0329
2017-05-24,4175000,3206000,4314000,3206000,34680.0,0.30219999999999997
2017-05-25,4199000,4175000,4840000,3102000,35910.0,0.005699999999999999
2017-05-26,3227000,4199000,4200000,2900000,36650.0,-0.23149999999999998
2017-05-27,3152000,3227000,3288000,2460000,33750.0,-0.0232
2017-05-28,3149000,3152000,3400000,2850000,22330.0,-0.001
2017-05-29,3206000,3149000,3340000,2966000,21060.0,0.0181
2017-05-30,3144000,3206000,3300000,3100000,19770.0,-0.019299999999999998
2017-05-31,3035000,3144000,3156000,2963000,23350.0,-0.0347
2017-06-01,3142000,3035000,3158000,3030000,14490.0,0.0353
2017-06-02,3169000,3142000,3196000,3053000,20770.0,0.0086
2017-06-03,3110000,3169000,3196000,3000000,17750.0,-0.018600000000000002
2017-06-04,3061000,3110000,3120000,3053000,12150.0,-0.0158
2017-06-05,3188000,3061000,3193000,3060000,18120.0,0.0415
2017-06-06,3390000,3188000,3449000,3185000,32900.0,0.0634
2017-06-07,3246000,3390000,3390000,3204000,18750.0,-0.0425
2017-06-08,3273000,3246000,3296000,3161000,22070.0,0.0083
2017-06-09,3265000,3273000,3335000,3238000,16940.0,-0.0024
2017-06-10,3280000,3265000,3336000,3251000,18580.0,0.0046
2017-06-11,3327000,3280000,3330000,3235000,19140.0,0.0143
2017-06-12,3208000,3327000,3395000,3101000,24730.0,-0.0358
2017-06-13,3193000,3208000,3270000,3176000,20940.0,-0.004699999999999999
2017-06-14,3027000,3193000,3235000,2851000,24360.0,-0.052000000000000005
2017-06-15,3061000,3027000,3084000,2675000,31180.0,0.011200000000000002
2017-06-16,3052000,3061000,3083000,2993000,14650.0,-0.0029
2017-06-17,3223000,3052000,3250000,3040000,18090.0,0.055999999999999994
2017-06-18,3163000,3223000,3243000,3120000,12200.0,-0.018600000000000002
2017-06-19,3234000,3163000,3240000,3163000,17910.0,0.022400000000000003
2017-06-20,3425000,3234000,3499000,3229000,27070.0,0.0591
2017-06-21,3429000,3425000,3545000,3280000,34020.0,0.0012
2017-06-22,3453000,3429000,3482000,3350000,21240.0,0.006999999999999999
2017-06-23,3451000,3453000,3494000,3400000,18630.0,-0.0006
2017-06-24,3365000,3451000,3451000,3340000,14780.0,-0.024900000000000002
2017-06-25,3387000,3365000,3450000,3304000,11070.0,0.006500000000000001
2017-06-26,3285000,3387000,3397000,3095000,21990.0,-0.0301
2017-06-27,3155000,3285000,3290000,2889000,26130.0,-0.039599999999999996
2017-06-28,3134000,3155000,3179000,3030000,20720.0,-0.0067
2017-06-29,3062000,3134000,3145000,3030000,14790.0,-0.023
2017-06-30,3079000,3062000,3124000,3052000,11880.0,0.005600000000000001
2017-07-01,3060000,3079000,3099000,3012000,9470.0,-0.0062
2017-07-02,3009000,3060000,3060000,2929000,11150.0,-0.0167
2017-07-03,3083000,3009000,3150000,3001000,14520.0,0.0246
2017-07-04,3142000,3083000,3168000,3075000,12560.0,0.0191
2017-07-05,3113000,3142000,3150000,3042000,11210.0,-0.0092
2017-07-06,3117000,3113000,3129000,3078000,7660.0,0.0013
2017-07-07,3076000,3117000,3125000,3040000,10480.0,-0.0132
2017-07-08,3085000,3076000,3086000,2931000,8700.0,0.0029
2017-07-09,3019000,3085000,3098000,3014000,5360.0,-0.021400000000000002
2017-07-10,2959000,3019000,3035000,2789000,11000.0,-0.0199
2017-07-11,2859000,2959000,2978000,2705000,16450.0,-0.0338
2017-07-12,2893000,2859000,2893000,2789000,13890.0,0.011899999999999999
2017-07-13,2822000,2893000,2940000,2804000,11300.0,-0.0245
2017-07-14,2632000,2822000,2823000,2600000,12410.0,-0.0673
2017-07-15,2214000,2632000,2637000,2085000,19220.0,-0.1588
2017-07-16,2213000,2214000,2334000,1800000,22050.0,-0.0005
2017-07-17,2643000,2213000,2676000,2164000,23880.0,0.1943
2017-07-18,2764000,2643000,2830000,2445000,30260.0,0.0458
2017-07-19,2641000,2764000,2766000,2510000,23020.0,-0.044500000000000005
2017-07-20,3235000,2641000,3399000,2621000,42260.0,0.2249
2017-07-21,2974000,3235000,3244000,2916000,38440.0,-0.08070000000000001
2017-07-22,3120000,2974000,3197000,2950000,32880.0,0.049100000000000005
2017-07-23,3044000,3120000,3141000,2980000,22450.0,-0.024399999999999998
2017-07-24,3064000,3044000,3089000,3003000,13710.0,0.0066
2017-07-25,2931000,3064000,3084000,2759000,31280.0,-0.0434
2017-07-26,2851000,2931000,2977000,2763000,18090.0,-0.0273
2017-07-27,2989000,2851000,3001000,2840000,16980.0,0.0484
2017-07-28,3192000,2989000,3238000,2989000,51400.0,0.0679
2017-07-29,3064000,3192000,3193000,2960000,31800.0,-0.0401
2017-07-30,3108000,3064000,3148000,3001000,16830.0,0.0144
2017-07-31,3190000,3108000,3198000,3054000,17340.0,0.0264
2017-08-01,3055000,3190000,3196000,2998000,14240.0,-0.042300000000000004
2017-08-02,3043000,3055000,3087000,3024000,6170.0,-0.0039000000000000003
2017-08-03,3093000,3043000,3111000,3040000,8670.0,0.016399999999999998
2017-08-04,3164000,3093000,3198000,3059000,29690.0,0.023
2017-08-05,3563000,3164000,3566000,3156000,53540.0,0.1261
2017-08-06,3523000,3563000,3663000,3420000,22230.0,-0.011200000000000002
2017-08-07,3744000,3523000,3784000,3461000,24650.0,0.06269999999999999
2017-08-08,3865000,3744000,3958000,3699000,43150.0,0.0323
2017-08-09,3798000,3865000,3883000,3600000,21960.0,-0.0173
2017-08-10,3868000,3798000,3890000,3769000,12810.0,0.0184
2017-08-11,4177000,3868000,4200000,3861000,31860.0,0.0799
2017-08-12,4482000,4177000,4500000,4111000,42730.0,0.073
2017-08-13,4720000,4482000,5080000,4300000,73720.0,0.053099999999999994
2017-08-14,4957000,4720000,4960000,4560000,48360.0,0.050199999999999995
2017-08-15,4869000,4957000,5140000,4511000,71810.0,-0.0178
2017-08-16,4952000,4869000,4965000,4612000,45460.0,0.017
2017-08-17,4851000,4952000,5055000,4850000,35200.0,-0.0204
2017-08-18,4771000,4851000,4952000,4677000,27040.0,-0.0165
2017-08-19,4809000,4771000,4900000,4601000,34440.0,0.008
2017-08-20,4730000,4809000,4849000,4723000,15010.0,-0.016399999999999998
2017-08-21,4515000,4730000,4757000,4510000,22990.0,-0.0455
2017-08-22,4598000,4515000,4635000,4090000,30000.0,0.0184
2017-08-23,4682000,4598000,4796000,4555000,20640.0,0.0183
2017-08-24,4841000,4682000,4961000,4658000,18160.0,0.034
2017-08-25,4910000,4841000,4973000,4830000,15820.0,0.0143
2017-08-26,4913000,4910000,4919000,4852000,8820.0,0.0006
2017-08-27,4887000,4913000,4959000,4880000,8710.0,-0.0053
2017-08-28,4910000,4887000,4916000,4770000,14890.0,0.004699999999999999
2017-08-29,5091000,4910000,5139000,4880000,17350.0,0.0369
2017-08-30,5056000,5091000,5170000,4975000,12500.0,-0.0069
2017-08-31,5184000,5056000,5218000,5046000,11190.0,0.0253
2017-09-01,5355000,5184000,5356000,5179000,12910.0,0.033
2017-09-02,5105000,5355000,5510000,4860000,20360.0,-0.0467
2017-09-03,5141000,5105000,5295000,4900000,15600.0,0.0070999999999999995
2017-09-04,4801000,5141000,5144000,4680000,19060.0,-0.0661
2017-09-05,4962000,4801000,5047000,4250000,25890.0,0.0335
2017-09-06,5068000,4962000,5097000,4906000,15780.0,0.021400000000000002
2017-09-07,5082000,5068000,5140000,4950000,12920.0,0.0028000000000000004
2017-09-08,4934000,5082000,5118000,4700000,17310.0,-0.0291
2017-09-09,4870000,4934000,4939000,4750000,12730.0,-0.013000000000000001
2017-09-10,4715000,4870000,4872000,4443000,10960.0,-0.0318
2017-09-11,4791000,4715000,4939000,4680000,13570.0,0.0161
2017-09-12,4707000,4791000,4868000,4683000,12990.0,-0.0175
2017-09-13,4462000,4707000,4722000,4401000,16940.0,-0.0521
2017-09-14,3424000,4462000,4539000,3420000,27980.0,-0.23260000000000003
2017-09-15,4167000,3424000,4345000,3303000,49490.0,0.217
2017-09-16,4121000,4167000,4322000,3900000,19560.0,-0.011000000000000001
2017-09-17,4082000,4121000,4186000,3920000,13960.0,-0.0095
2017-09-18,4459000,4082000,4481000,4075000,22520.0,0.0924
2017-09-19,4394000,4459000,4498000,4215000,15380.0,-0.0146
2017-09-20,4373000,4394000,4456000,4340000,10200.0,-0.0048
2017-09-21,4096000,4373000,4411000,4062000,13390.0,-0.0633
2017-09-22,4156000,4096000,4255000,4051000,10610.0,0.0146
2017-09-23,4272000,4156000,4330000,4101000,9710.0,0.0279
2017-09-24,4153000,4272000,4275000,4151000,7470.0,-0.0279
2017-09-25,4319000,4153000,4334000,4150000,13310.0,0.04
2017-09-26,4320000,4319000,4420000,4306000,10880.0,0.0002
