Date,Close,Open,High,Low,Change
1992-02-07,140.09,139.71,140.09,139.71,0.0004
1992-02-10,140.42,140.05,140.42,140.05,0.0024
1992-02-11,140.03,139.65,140.03,139.65,-0.0028000000000000004
1992-02-12,139.81,139.43,139.81,139.43,-0.0016
1992-02-13,139.82,139.45,139.82,139.45,0.0001
1992-02-14,139.99,139.6,139.99,139.6,0.0012
1992-02-17,140.06,139.69,140.06,139.69,0.0005
1992-02-18,140.08,139.69,140.08,139.69,0.0001
1992-02-19,140.18,139.78,140.18,139.78,0.0007000000000000001
1992-02-20,140.32,139.92,140.32,139.92,0.001
1992-02-21,140.38,140.01,140.38,140.01,0.0004
1992-02-24,140.16,139.78,140.16,139.78,-0.0016
1992-02-25,140.3,139.91,140.3,139.91,0.001
1992-02-26,140.23,139.83,140.23,139.83,-0.0005
1992-02-27,140.39,140.03,140.39,140.03,0.0011
1992-02-28,140.48,140.11,140.48,140.11,0.0006
1992-03-02,140.48,140.11,140.48,140.11,0.0
1992-03-03,140.45,140.09,140.45,140.09,-0.0002
1992-03-04,140.42,139.98,140.42,139.98,-0.0002
1992-03-05,140.27,139.91,140.27,139.91,-0.0011
1992-03-06,140.33,139.94,140.33,139.94,0.0004
1992-03-09,140.49,140.12,140.49,140.12,0.0011
1992-03-10,140.49,140.12,140.49,140.12,0.0
1992-03-11,140.57,140.2,140.57,140.2,0.0006
1992-03-12,140.74,140.37,140.74,140.37,0.0012
1992-03-13,140.78,140.42,140.78,140.42,0.0003
1992-03-16,140.81,140.42,140.81,140.42,0.0002
1992-03-17,140.94,140.57,140.94,140.57,0.0009
1992-03-18,141.37,141.0,141.37,141.0,0.0031
1992-03-19,141.45,141.09,141.45,141.09,0.0006
1992-03-20,141.03,140.64,141.03,140.64,-0.003
1992-03-23,141.22,140.82,141.22,140.82,0.0013
1992-03-24,141.22,140.82,141.22,140.82,0.0
1992-03-25,141.31,140.91,141.31,140.91,0.0006
1992-03-26,141.51,141.15,141.51,141.15,0.0014000000000000002
1992-03-27,141.62,141.25,141.62,141.25,0.0008
1992-03-30,141.7,141.3,141.7,141.3,0.0006
1992-03-31,141.69,141.32,141.69,141.32,-0.0001
1992-04-01,141.73,141.36,141.73,141.36,0.0003
1992-04-02,141.77,141.39,141.77,141.39,0.0003
1992-04-03,141.88,141.52,141.88,141.52,0.0008
1992-04-06,142.07,141.67,142.07,141.67,0.0013
1992-04-07,142.19,141.79,142.19,141.79,0.0008
1992-04-08,142.44,142.07,142.44,142.07,0.0018
1992-04-09,142.62,142.25,142.62,142.25,0.0013
1992-04-10,142.58,142.17,142.58,142.17,-0.0003
1992-04-13,142.02,141.66,142.02,141.66,-0.0039000000000000003
