Date,Close,Open,High,Low,Volume,Change
2005-01-04,982.79,994.77,994.77,980.66,7410.0,-0.0172
2005-01-05,992.56,981.58,997.32,979.88,7120.0,0.009899999999999999
2005-01-06,983.17,993.33,993.79,980.33,6290.0,-0.0095
2005-01-07,983.96,983.05,995.71,979.81,7300.0,0.0008
2005-01-10,993.88,983.76,993.96,979.79,5790.0,0.0101
2005-01-11,997.13,994.19,999.55,991.09,5850.0,0.0033
2005-01-12,996.75,996.65,996.98,989.26,5020.0,-0.0004
2005-01-13,996.88,996.08,999.47,992.7,6040.0,0.0001
2005-01-14,988.31,996.62,1006.46,987.23,7300.0,-0.0086
2005-01-17,967.45,979.11,981.53,965.08,7290.0,-0.021099999999999997
2005-01-18,974.69,967.37,974.87,960.29,7310.0,0.0075
2005-01-19,967.21,974.33,974.33,965.26,6340.0,-0.0077
2005-01-20,956.25,963.21,963.21,952.23,7730.0,-0.0113
2005-01-21,982.6,954.46,984.27,943.44,14450.0,0.0276
2005-01-24,998.13,1001.85,1001.85,986.24,14360.0,0.0158
2005-01-25,997.77,995.64,997.95,985.24,9860.0,-0.0004
2005-01-26,989.93,995.78,999.47,988.48,7660.0,-0.0079
2005-01-27,974.63,987.34,987.7,973.77,6950.0,-0.0155
2005-01-28,969.21,974.63,975.62,965.21,5750.0,-0.005600000000000001
2005-01-31,954.88,965.79,965.79,953.14,6790.0,-0.0148
2005-02-01,955.95,953.33,965.48,952.74,7430.0,0.0011
2005-02-02,1006.91,956.7,1006.93,956.7,17060.0,0.0533
2005-02-03,993.22,1005.56,1014.19,992.16,16980.0,-0.013600000000000001
2005-02-04,1016.86,992.25,1021.03,989.94,15740.0,0.023799999999999998
2005-02-16,1023.58,1023.32,1033.25,1018.49,12130.0,0.0066
2005-02-17,1020.61,1024.43,1024.43,1010.48,8970.0,-0.0029
2005-02-18,1006.05,1020.12,1021.2,1005.63,8140.000000000001,-0.0143
2005-02-21,1025.63,1006.69,1025.66,1006.69,9890.0,0.0195
2005-02-22,1046.74,1026.84,1048.68,1024.53,17940.0,0.0206
2005-02-23,1043.94,1046.81,1049.61,1036.63,18700.0,-0.0027
2005-02-24,1045.46,1042.25,1045.96,1034.73,14680.0,0.0015
2005-02-25,1046.76,1046.27,1059.48,1045.98,18170.0,0.0012
2005-02-28,1039.99,1046.21,1048.28,1035.04,12970.0,-0.006500000000000001
2005-03-01,1035.93,1039.35,1042.74,1031.17,9960.0,-0.0039000000000000003
2005-03-02,1021.32,1036.37,1045.76,1021.0,14230.0,-0.0141
2005-03-03,1027.71,1019.88,1028.4,1014.75,9200.0,0.0063
2005-03-04,1023.67,1027.93,1031.85,1022.18,8170.0,-0.0039000000000000003
2005-03-07,1029.87,1024.48,1031.34,1024.48,7930.0,0.0060999999999999995
2005-03-08,1048.99,1033.79,1049.29,1032.85,14300.0,0.018600000000000002
2005-03-09,1046.54,1051.26,1054.64,1041.98,15330.0,-0.0023
2005-03-10,1022.41,1046.69,1046.69,1019.63,13300.0,-0.0231
2005-03-11,1027.43,1021.08,1028.12,1016.93,11480.0,0.0049
2005-03-14,1031.03,1027.18,1041.57,1014.93,14470.0,0.0034999999999999996
2005-03-15,1013.52,1030.86,1030.94,1011.64,12010.0,-0.017
2005-03-16,1003.07,1011.85,1012.2,995.97,10620.0,-0.0103
2005-03-17,992.86,1001.97,1004.82,992.12,9970.0,-0.0102
2005-03-18,978.66,991.89,996.4,975.71,9650.0,-0.0143
2005-03-21,981.89,977.3,983.18,973.0,7250.0,0.0033
2005-03-22,964.02,981.71,982.14,959.56,11380.0,-0.0182
2005-03-23,959.01,962.82,975.36,955.99,10930.0,-0.0052
2005-03-24,964.8,957.43,965.06,948.53,9260.0,0.006
2005-03-25,962.96,964.25,966.97,959.06,7110.0,-0.0019
2005-03-28,960.7,961.65,961.65,948.81,6670.0,-0.0023
2005-03-29,955.19,960.42,968.12,954.74,7580.0,-0.005699999999999999
2005-03-30,937.03,952.71,952.71,936.38,8950.0,-0.019
2005-03-31,942.2,934.85,942.37,928.34,7860.0,0.0055000000000000005
2005-04-01,978.14,941.43,989.9,937.55,16350.000000000002,0.0381
2005-04-04,962.17,968.49,974.06,956.13,11440.0,-0.0163
2005-04-05,955.6,960.54,967.75,953.59,9540.0,-0.0068000000000000005
2005-04-06,973.67,955.6,977.86,948.95,14280.0,0.0189
2005-04-07,984.73,975.97,1000.27,974.31,20750.0,0.011399999999999999
2005-04-08,1003.45,984.66,1003.7,979.53,14760.0,0.019
2005-04-11,995.42,1003.88,1008.74,992.77,15940.0,-0.008
2005-04-12,978.7,993.71,993.71,978.2,10230.0,-0.0168
2005-04-13,1000.9,987.95,1006.5,987.95,16070.0,0.0227
2005-04-14,986.98,1004.64,1006.42,985.58,12950.0,-0.0139
2005-04-15,974.08,982.61,982.61,971.93,10410.0,-0.0131
2005-04-18,963.77,970.91,970.91,958.65,8600.0,-0.0106
2005-04-19,965.89,962.92,968.87,957.91,9210.0,0.0022
2005-04-20,950.87,964.15,964.15,946.2,8850.0,-0.015600000000000001
2005-04-21,943.98,948.86,955.55,938.6,9950.0,-0.0072
2005-04-22,939.1,942.91,947.91,934.96,10690.0,-0.0052
2005-04-25,930.07,935.99,935.99,920.16,11470.0,-0.0096
2005-04-26,937.08,928.43,939.7,924.65,11690.0,0.0075
2005-04-27,926.6,938.57,938.91,925.9,10780.0,-0.011200000000000002
2005-04-28,942.07,923.53,945.5,914.83,14340.0,0.0167
2005-04-29,932.39,940.81,942.45,929.81,11240.0,-0.0103
2005-05-09,909.17,934.65,937.39,909.17,8530.0,-0.024900000000000002
2005-05-10,913.08,905.54,913.39,892.31,10490.0,0.0043
2005-05-11,901.85,911.84,917.22,900.44,9040.0,-0.0123
2005-05-12,885.82,899.97,900.06,883.51,10230.0,-0.0178
2005-05-13,887.54,883.5,898.5,875.58,11250.0,0.0019
2005-05-16,875.27,885.39,885.39,869.33,8220.0,-0.0138
2005-05-17,881.46,873.08,888.28,868.21,8770.0,0.0070999999999999995
2005-05-18,883.2,881.14,890.4,871.82,7880.0,0.002
2005-05-19,884.17,882.84,888.02,871.29,8150.0,0.0011
2005-05-20,882.76,883.51,891.02,879.18,7230.0,-0.0016
2005-05-23,863.34,880.28,880.28,862.1,7280.0,-0.022000000000000002
2005-05-24,868.46,861.2,871.77,855.59,9210.0,0.0059
2005-05-25,868.45,867.66,876.3,861.66,7240.0,-0.0
2005-05-26,857.33,867.76,872.84,854.96,6620.0,-0.0128
2005-05-27,849.51,855.6,864.96,848.4,7750.0,-0.0091
2005-05-30,855.61,847.63,858.46,842.1,6970.0,0.0072
2005-05-31,855.95,856.56,863.2,853.29,7050.0,0.0004
2005-06-01,837.53,855.21,857.66,836.04,7900.0,-0.0215
2005-06-02,818.38,835.47,835.49,812.99,9510.0,-0.0229
2005-06-03,818.03,816.55,823.86,807.97,7940.0,-0.0004
2005-06-06,839.0,816.73,839.15,807.78,9010.0,0.0256
2005-06-07,837.28,841.58,858.09,835.18,13070.0,-0.0021
2005-06-08,905.77,848.54,908.83,844.47,32910.0,0.0818
2005-06-09,912.6,907.57,925.37,895.04,33140.0,0.0075
2005-06-10,894.56,911.94,911.94,889.1,22390.0,-0.019799999999999998
2005-06-13,892.96,895.0,900.18,877.69,15630.0,-0.0018
2005-06-14,883.54,895.39,905.41,882.86,14340.0,-0.0105
2005-06-15,866.83,881.21,881.25,865.14,11450.0,-0.0189
2005-06-16,879.24,866.66,879.49,861.83,11050.0,0.0143
2005-06-17,880.35,883.61,888.08,876.04,14960.0,0.0013
2005-06-20,906.25,881.62,906.48,872.56,18990.0,0.0294
2005-06-21,896.17,906.31,906.31,894.39,12780.0,-0.0111
2005-06-22,900.65,894.77,901.24,891.93,10480.0,0.005
2005-06-23,893.57,900.06,904.9,892.83,9510.0,-0.0079
2005-06-24,898.3,892.06,898.67,888.4,8920.0,0.0053
2005-06-27,916.04,904.21,920.65,904.21,16550.0,0.0197
2005-06-28,903.72,913.48,913.48,901.21,10400.0,-0.0134
2005-06-29,898.9,906.75,907.57,898.08,10810.0,-0.0053
2005-06-30,878.69,897.1,897.1,876.88,10860.0,-0.0225
2005-07-01,859.49,875.93,875.93,858.37,10100.0,-0.0219
2005-07-04,855.93,855.32,856.1,842.81,8840.0,-0.0040999999999999995
2005-07-05,849.68,853.68,856.74,845.36,7990.0,-0.0073
2005-07-06,842.56,850.25,854.45,838.61,6900.0,-0.0084
2005-07-07,844.73,841.75,848.02,839.28,5960.0,0.0026
2005-07-08,829.49,842.62,842.62,827.23,7220.0,-0.018000000000000002
2005-07-11,824.1,837.86,850.66,822.52,8440.0,-0.006500000000000001
2005-07-12,851.82,821.91,854.29,818.86,14990.0,0.0336
2005-07-13,846.23,850.47,851.95,841.86,9400.0,-0.0066
2005-07-14,849.59,844.94,856.1,843.18,9360.0,0.004
2005-07-15,841.0,849.87,854.6,837.78,8890.0,-0.0101
2005-07-18,833.0,839.22,840.0,829.68,8500.0,-0.0095
2005-07-19,835.61,831.5,840.14,829.28,7890.0,0.0031
2005-07-20,842.64,835.3,844.71,832.14,8530.0,0.0084
2005-07-21,843.99,842.75,843.99,835.76,8370.0,0.0016
2005-07-22,859.69,847.54,867.16,842.99,21320.0,0.018600000000000002
2005-07-25,856.86,858.33,860.95,854.28,11820.0,-0.0033
2005-07-26,876.48,856.19,880.03,856.19,21830.0,0.0229
2005-07-27,894.01,876.94,894.03,876.04,20410.0,0.02
2005-07-28,890.88,893.88,901.0,888.5,20620.0,-0.0034999999999999996
2005-07-29,888.16,889.41,892.29,883.38,13400.0,-0.0031
2005-08-01,891.61,887.72,897.28,885.85,11810.0,0.0039000000000000003
2005-08-02,903.6,892.13,903.65,888.4,14290.0,0.0134
2005-08-03,909.57,905.18,919.28,903.76,25790.0,0.0066
2005-08-04,904.15,907.42,909.83,901.62,14520.0,-0.006
2005-08-05,923.8,904.04,923.81,903.94,19120.0,0.0217
2005-08-08,927.47,926.57,933.15,923.57,21610.0,0.004
2005-08-09,933.09,926.97,933.39,919.11,19530.0,0.0060999999999999995
2005-08-10,940.37,933.26,940.37,926.27,21520.0,0.0078000000000000005
2005-08-11,953.99,940.78,953.99,939.39,27070.0,0.014499999999999999
2005-08-12,938.32,954.72,959.27,933.99,29170.0,-0.016399999999999998
2005-08-15,954.5,937.71,954.5,936.11,20430.0,0.0172
2005-08-16,945.06,955.27,959.34,939.92,23860.0,-0.009899999999999999
2005-08-17,953.01,943.4,953.34,930.33,21460.0,0.0084
2005-08-18,920.67,954.15,956.84,919.12,31860.0,-0.0339
2005-08-19,923.04,918.09,927.32,910.08,22240.0,0.0026
2005-08-22,931.67,923.11,933.35,919.22,16030.000000000002,0.009300000000000001
2005-08-23,923.41,931.81,931.81,915.03,15410.0,-0.0089
2005-08-24,930.65,923.56,935.23,923.56,15960.0,0.0078000000000000005
2005-08-25,930.12,930.98,933.2,920.61,16290.0,-0.0006
2005-08-26,928.26,930.25,930.33,921.84,15430.0,-0.002
2005-08-29,917.37,928.34,928.34,913.77,15460.0,-0.011699999999999999
2005-08-30,914.88,916.09,920.21,912.84,12440.0,-0.0027
2005-08-31,927.92,915.12,928.21,911.5,14620.0,0.0143
2005-09-01,944.56,928.52,944.95,926.06,22310.0,0.0179
2005-09-02,947.87,945.98,947.92,941.31,18610.0,0.0034999999999999996
2005-09-05,952.72,949.08,952.99,944.63,17840.0,0.0051
2005-09-06,936.61,953.41,956.3,934.97,21220.0,-0.0169
2005-09-07,952.76,934.99,952.9,932.65,19610.0,0.0172
