Date,Close,Open,High,Low,Volume,Change
1988-01-04,2015.25,1938.83,2021.55,1938.83,20880000.0,0.0394
1988-01-05,2031.5,2015.25,2066.15,2015.25,27200000.0,0.008100000000000001
1988-01-06,2037.8,2031.33,2044.93,2022.05,18800000.0,0.0031
1988-01-07,2051.89,2037.96,2056.53,2011.6,21370000.0,0.0069
1988-01-08,1911.31,2052.1,2055.9,1908.7,27440000.0,-0.06849999999999999
1988-01-11,1945.13,1983.26,1983.59,1893.24,23390000.0,0.0177
1988-01-12,1928.55,1944.96,1944.96,1884.12,23610000.0,-0.0085
1988-01-13,1924.73,1928.55,1953.08,1891.91,24710000.0,-0.002
1988-01-14,1916.11,1924.73,1931.7,1899.54,16649999.999999998,-0.0045000000000000005
1988-01-15,1956.07,1916.11,1975.63,1916.11,36570000.0,0.0209
1988-01-18,1963.86,1957.73,1969.5,1944.63,11700000.0,0.004
1988-01-19,1936.34,1963.86,1970.99,1935.68,19160000.0,-0.013999999999999999
1988-01-20,1879.14,1936.34,1936.51,1869.53,24070000.0,-0.029500000000000002
1988-01-21,1879.31,1879.31,1892.9,1850.96,19420000.0,0.0001
1988-01-22,1903.51,1878.98,1904.84,1878.98,13440000.0,0.0129
1988-01-25,1946.45,1903.35,1953.42,1903.35,23050000.0,0.0226
1988-01-26,1920.59,1946.45,1946.62,1915.29,16719999.999999998,-0.013300000000000001
1988-01-27,1911.14,1920.42,1942.64,1902.35,23070000.0,-0.0049
1988-01-28,1930.04,1911.14,1936.17,1911.14,18430000.0,0.009899999999999999
1988-01-29,1958.22,1930.04,1958.22,1926.06,23320000.0,0.0146
1988-02-01,1944.63,1958.39,1973.14,1944.13,35260000.0,-0.0069
1988-02-02,1952.92,1944.63,1958.89,1927.06,19600000.0,0.0043
1988-02-03,1924.57,1952.75,1965.85,1910.48,25640000.0,-0.014499999999999999
1988-02-04,1923.57,1924.57,1931.53,1909.98,52810000.0,-0.0005
1988-02-05,1910.48,1923.57,1934.68,1909.81,21080000.0,-0.0068000000000000005
1988-02-08,1895.72,1910.64,1910.64,1886.27,14550000.0,-0.0077
1988-02-09,1914.46,1895.56,1915.45,1891.91,14960000.0,0.009899999999999999
1988-02-10,1962.04,1914.12,1962.37,1914.12,27570000.0,0.024900000000000002
1988-02-11,1961.54,1962.04,1974.14,1950.6,19400000.0,-0.0003
1988-02-12,1983.26,1961.54,1986.9,1961.54,16550000.0,0.0111
1988-02-16,2005.97,1983.09,2005.97,1976.13,15890000.0,0.0115
1988-02-17,2000.99,2005.97,2017.9,1989.56,25030000.0,-0.0025
1988-02-18,1986.41,2000.5,2003.98,1978.12,18330000.0,-0.0073
1988-02-19,2014.59,1986.24,2014.59,1980.44,23910000.0,0.014199999999999999
1988-02-22,2040.29,2014.42,2047.41,2005.8,24230000.0,0.0128
1988-02-23,2039.12,2040.12,2048.08,2023.87,21420000.0,-0.0006
1988-02-24,2039.95,2039.12,2054.21,2033.16,24330000.0,0.0004
1988-02-25,2017.57,2040.12,2073.28,2014.09,28970000.0,-0.011000000000000001
1988-02-26,2023.21,2017.9,2027.02,2012.43,14730000.0,0.0028000000000000004
1988-02-29,2071.62,2023.21,2071.62,2023.21,20080000.0,0.0239
1988-03-01,2070.46,2070.29,2079.41,2056.7,23630000.0,-0.0006
1988-03-02,2071.29,2070.46,2087.04,2065.15,19920000.0,0.0004
1988-03-03,2063.49,2071.29,2075.43,2056.03,18370000.0,-0.0038
1988-03-04,2057.86,2063.49,2072.12,2040.29,16649999.999999998,-0.0027
1988-03-07,2056.37,2057.86,2058.85,2044.26,14100000.0,-0.0007000000000000001
1988-03-08,2081.07,2056.03,2081.07,2056.03,19490000.0,0.012
1988-03-09,2074.27,2080.74,2087.2,2071.29,18150000.0,-0.0033
1988-03-10,2026.03,2074.1,2076.26,2025.03,18120000.0,-0.0233
1988-03-11,2034.98,2026.03,2036.8,2001.82,17190000.0,0.0044
1988-03-14,2050.07,2035.64,2050.9,2031.0,11470000.0,0.0074
1988-03-15,2047.41,2050.23,2052.06,2038.13,13280000.0,-0.0013
1988-03-16,2064.32,2047.25,2064.99,2033.16,16920000.0,0.0083
1988-03-17,2086.04,2064.49,2086.04,2064.32,20570000.0,0.0105
1988-03-18,2087.37,2086.04,2100.46,2073.77,34640000.0,0.0006
1988-03-21,2067.14,2087.37,2087.37,2056.37,13550000.0,-0.0097
1988-03-22,2066.15,2067.14,2074.6,2060.18,13660000.0,-0.0005
1988-03-23,2067.64,2065.98,2074.6,2057.19,18930000.0,0.0007000000000000001
1988-03-24,2023.87,2067.64,2067.64,2017.9,26540000.0,-0.0212
1988-03-25,1978.95,2023.87,2024.2,1977.95,18590000.0,-0.0222
1988-03-28,1979.77,1979.61,1982.43,1960.05,18240000.0,0.0004
1988-03-29,1998.34,1982.59,2006.47,1982.59,19940000.0,0.009399999999999999
1988-03-30,1978.12,2006.3,2012.43,1977.62,21470000.0,-0.0101
1988-03-31,1988.06,1978.12,1993.37,1963.03,18280000.0,0.005
1988-04-04,1980.6,1987.73,2004.64,1975.46,17250000.0,-0.0038
1988-04-05,1997.51,1980.77,2001.99,1976.46,16940000.0,0.0085
1988-04-06,2061.67,1997.35,2061.84,1994.53,28270000.0,0.0321
1988-04-07,2062.17,2061.34,2074.44,2056.37,22550000.0,0.0002
1988-04-08,2090.19,2062.17,2096.49,2059.35,19890000.0,0.013600000000000001
1988-04-11,2095.99,2090.19,2099.14,2083.06,16800000.0,0.0028000000000000004
1988-04-12,2110.08,2095.82,2115.22,2091.68,20050000.0,0.0067
1988-04-13,2107.1,2110.58,2113.06,2088.86,20010000.0,-0.0014000000000000002
1988-04-14,2005.64,2106.76,2106.93,2003.48,30090000.0,-0.0482
1988-04-15,2013.93,2006.63,2021.72,1975.96,33860000.0,0.0040999999999999995
1988-04-18,2008.12,2013.93,2013.93,1993.2,15940000.0,-0.0029
1988-04-19,1999.5,2008.12,2040.78,1999.17,21110000.0,-0.0043
