Date,Close,Open,High,Low,Volume,Change
2019-01-29,2510,2480,2570,2425,2020000.0,0.0121
2019-01-30,2565,2510,2600,2480,2730000.0,0.0219
2019-01-31,2540,2565,2605,2510,1950000.0,-0.0097
2019-02-01,2565,2535,2580,2500,877090.0,0.0098
2019-02-02,2680,2565,2695,2545,834710.0,0.044800000000000006
2019-02-03,2620,2680,2690,2590,932300.0,-0.022400000000000003
2019-02-04,2650,2625,2700,2610,1450000.0,0.0115
2019-02-05,2645,2650,2660,2615,966730.0,-0.0019
2019-02-06,2605,2640,2655,2555,1600000.0,-0.0151
2019-02-07,2610,2600,2635,2590,1020000.0,0.0019
2019-02-08,2980,2610,3045,2590,4900000.0,0.1418
2019-02-09,3025,2980,3100,2925,4059999.9999999995,0.0151
2019-02-10,3095,3025,3130,2895,2880000.0,0.0231
2019-02-11,3020,3105,3120,2975,2080000.0,-0.0242
2019-02-12,3230,3020,3295,2980,3710000.0,0.0695
2019-02-13,3155,3225,3290,3105,2460000.0,-0.0232
2019-02-14,3050,3150,3180,3010,2120000.0,-0.0333
2019-02-15,3085,3050,3150,3035,2120000.0,0.0115
2019-02-16,3085,3085,3170,3075,1630000.0,0.0
2019-02-17,3170,3080,3215,3070,2580000.0,0.0276
2019-02-18,3785,3165,3790,3150,8920000.0,0.19399999999999998
2019-02-19,3845,3770,4145,3710,11080000.0,0.0159
2019-02-20,4245,3835,4290,3765,12290000.0,0.10400000000000001
2019-02-21,4180,4250,4285,4045,5030000.0,-0.015300000000000001
2019-02-22,4220,4175,4275,4120,3360000.0,0.0096
2019-02-23,4625,4220,4635,4170,4139999.9999999995,0.096
2019-02-24,3935,4625,4825,3860,20940000.0,-0.1492
2019-02-25,3935,3945,4100,3670,10850000.0,0.0
2019-02-26,3810,3935,3950,3690,3570000.0,-0.0318
2019-02-27,3900,3810,3945,3750,3770000.0,0.0236
2019-02-28,3890,3910,4060,3855,3310000.0,-0.0026
2019-03-01,3855,3885,4060,3820,2250000.0,-0.009000000000000001
2019-03-02,3870,3845,3915,3820,1390000.0,0.0039000000000000003
2019-03-03,3905,3870,3985,3870,1290000.0,0.009000000000000001
2019-03-04,3620,3905,3930,3515,5360000.0,-0.073
2019-03-05,4125,3615,4145,3570,7990000.0,0.13949999999999999
2019-03-06,4110,4130,4255,3970,8189999.999999999,-0.0036
2019-03-07,4155,4115,4280,4110,5010000.0,0.0109
2019-03-08,4005,4155,4200,3905,3980000.0,-0.0361
2019-03-09,4140,4010,4215,3995,3700000.0,0.0337
2019-03-10,4090,4140,4140,4045,1720000.0,-0.0121
2019-03-11,3995,4090,4130,3910,2810000.0,-0.0232
2019-03-12,4055,3990,4115,3845,2660000.0,0.015
2019-03-13,3990,4060,4090,3915,2420000.0,-0.016
2019-03-14,4000,3985,4085,3915,2340000.0,0.0025
2019-03-15,4090,4000,4150,3990,2240000.0,0.0225
2019-03-16,4205,4085,4255,4085,2740000.0,0.0281
2019-03-17,4155,4205,4210,4120,794780.0,-0.011899999999999999
2019-03-18,4140,4155,4220,4105,1540000.0,-0.0036
2019-03-19,4165,4140,4185,4110,1090000.0,0.006
2019-03-20,4160,4165,4180,3980,1590000.0,-0.0012
2019-03-21,4085,4160,4175,3970,1780000.0,-0.018000000000000002
2019-03-22,4080,4085,4105,4030,1130000.0,-0.0012
2019-03-23,4125,4070,4175,4055,1580000.0,0.011000000000000001
2019-03-24,4115,4125,4130,4065,1110000.0,-0.0024
2019-03-25,4160,4115,4185,4045,2910000.0,0.0109
2019-03-26,4260,4160,4270,4085,2220000.0,0.024
2019-03-27,4790,4265,4880,4235,12640000.0,0.1244
2019-03-28,4795,4785,4875,4705,5270000.0,0.001
2019-03-29,4855,4795,4975,4760,4160000.0,0.0125
2019-03-30,4685,4855,4885,4520,3750000.0,-0.035
2019-03-31,4755,4685,4820,4625,1970000.0,0.0149
2019-04-01,4785,4755,4825,4710,1850000.0,0.0063
2019-04-02,5580,4775,5650,4745,9880000.0,0.1661
2019-04-03,5905,5590,6570,5540,11210000.0,0.0582
2019-04-04,5765,5910,6030,5505,5390000.0,-0.023700000000000002
2019-04-05,6040,5770,6075,5770,3230000.0,0.04769999999999999
2019-04-06,6125,6035,6505,5845,4800000.0,0.0141
2019-04-07,6195,6120,6270,6040,2710000.0,0.011399999999999999
2019-04-08,6400,6200,6470,6045,5460000.0,0.0331
2019-04-09,6430,6400,6515,6175,3430000.0,0.004699999999999999
2019-04-10,6780,6425,6935,6425,7550000.0,0.054400000000000004
2019-04-11,6165,6780,6790,5995,9220000.0,-0.0907
2019-04-12,6240,6160,6325,5850,6520000.0,0.012199999999999999
2019-04-13,6170,6235,6295,6040,2000000.0,-0.011200000000000002
2019-04-14,6425,6155,6445,6075,1980000.0,0.041299999999999996
2019-04-15,6210,6430,6505,6165,3890000.0,-0.0335
2019-04-16,6400,6215,6425,6090,2250000.0,0.030600000000000002
2019-04-17,6260,6400,6455,6205,1810000.0,-0.0219
2019-04-18,6315,6260,6380,6250,1720000.0,0.0088
2019-04-19,6315,6315,6335,6200,1300000.0,0.0
2019-04-20,6300,6315,6345,6250,940320.0,-0.0024
2019-04-21,6070,6300,6315,5825,2930000.0,-0.0365
2019-04-22,6080,6070,6140,5955,1720000.0,0.0016
2019-04-23,5990,6080,6260,5965,2080000.0,-0.0148
2019-04-24,5655,5985,6050,5460,4300000.0,-0.0559
2019-04-25,5405,5665,5725,5345,3270000.0,-0.044199999999999996
2019-04-26,5540,5405,5705,5270,3360000.0,0.025
2019-04-27,5465,5545,5585,5420,797870.0,-0.013500000000000002
2019-04-28,5480,5470,5550,5385,1060000.0,0.0027
2019-04-29,5200,5480,5485,5130,2029999.9999999998,-0.051100000000000007
2019-04-30,5530,5195,5550,5195,1830000.0,0.0635
2019-05-01,5485,5530,5595,5370,1530000.0,-0.008100000000000001
2019-05-02,5505,5485,5540,5365,1730000.0,0.0036
2019-05-03,5815,5505,5930,5465,3030000.0,0.056299999999999996
2019-05-04,5705,5815,5945,5525,2620000.0,-0.0189
2019-05-05,5670,5695,5765,5600,1010000.0,-0.0060999999999999995
2019-05-06,5635,5665,5740,5425,1890000.0,-0.0062
2019-05-07,5590,5640,5810,5570,2080000.0,-0.008
2019-05-08,5675,5590,5705,5505,1540000.0,0.0152
2019-05-09,5700,5680,5825,5605,1970000.0,0.0044
2019-05-10,5670,5700,5800,5430,2830000.0,-0.0053
2019-05-11,6445,5670,6700,5670,6990000.0,0.1367
2019-05-12,6240,6405,6715,6120,5620000.0,-0.0318
2019-05-13,6520,6240,6780,6200,4830000.0,0.0449
2019-05-14,7180,6515,7340,6485,10750000.0,0.1012
2019-05-15,7615,7170,7665,7090,9210000.0,0.060599999999999994
2019-05-16,7820,7620,8160,7455,11450000.0,0.0269
2019-05-17,7295,7815,7930,6890,8119999.999999999,-0.06709999999999999
2019-05-18,7150,7295,7425,7090,2670000.0,-0.0199
2019-05-19,7700,7145,7815,7140,5270000.0,0.07690000000000001
2019-05-20,7510,7700,7700,7280,3700000.0,-0.024700000000000003
2019-05-21,7515,7510,7695,7350,4170000.0,0.0007000000000000001
2019-05-22,7230,7510,7595,7100,4000000.0,-0.0379
2019-05-23,7275,7220,7370,6910,3420000.0,0.0062
2019-05-24,7700,7270,7965,7165,9820000.0,0.0584
2019-05-25,7600,7695,7835,7515,4090000.0,-0.013000000000000001
2019-05-26,8205,7600,8320,7380,6190000.0,0.0796
2019-05-27,9480,8205,9740,8125,19430000.0,0.15539999999999998
2019-05-28,9570,9490,9785,9135,14720000.0,0.0095
2019-05-29,9505,9570,9950,9010,10240000.0,-0.0068000000000000005
2019-05-30,8910,9510,10200,8695,15300000.0,-0.0626
2019-05-31,10420,8920,10470,8755,18720000.0,0.16949999999999998
2019-06-01,9340,10360,10550,9065,18390000.0,-0.1036
2019-06-02,9295,9405,9600,9035,9690000.0,-0.0048
2019-06-03,8210,9285,9290,8210,11430000.0,-0.1167
2019-06-04,7770,8210,8465,7445,12730000.0,-0.0536
2019-06-05,7890,7765,8050,7580,6150000.0,0.0154
2019-06-06,7750,7890,7925,7320,3710000.0,-0.0177
2019-06-07,8090,7750,8230,7630,3880000.0,0.043899999999999995
2019-06-08,7820,8090,8140,7650,2230000.0,-0.0334
2019-06-09,7615,7820,7935,7490,2810000.0,-0.0262
2019-06-10,7850,7615,7910,7465,2900000.0,0.030899999999999997
2019-06-11,7680,7860,7895,7550,1900000.0,-0.0217
2019-06-12,7740,7680,7755,7575,2340000.0,0.0078000000000000005
2019-06-13,7810,7735,7950,7705,2780000.0,0.009000000000000001
2019-06-14,7910,7810,7960,7715,2260000.0,0.0128
2019-06-15,8220,7910,8290,7860,3500000.0,0.0392
2019-06-16,8330,8205,8570,8115,3650000.0,0.0134
2019-06-17,8450,8320,8635,8315,2200000.0,0.0144
2019-06-18,8145,8435,8480,8010,1780000.0,-0.0361
2019-06-19,8200,8145,8320,8105,968300.0,0.0068000000000000005
2019-06-20,8125,8190,8230,7955,1490000.0,-0.0091
2019-06-21,8315,8135,8410,8105,2610000.0,0.023399999999999997
2019-06-22,8645,8305,8740,8255,6420000.0,0.0397
