Date,Close,Open,High,Low,Volume,Change
2019-04-19,5.4546,5.465,5.4784,5.3519,2990000.0,-0.0022
2019-04-20,5.4243,5.4573,5.4939,5.3696,2500000.0,-0.005600000000000001
2019-04-21,5.1986,5.4283,5.4451,4.9645,6620000.0,-0.0416
2019-04-22,5.2159,5.199,5.2755,5.089,4250000.0,0.0033
2019-04-23,5.1059,5.2185,5.3586,5.0973,4910000.0,-0.021099999999999997
2019-04-24,4.7789,5.0978,5.1401,4.5634,10050000.0,-0.064
2019-04-25,4.6115,4.7762,4.8446,4.5466,7340000.0,-0.035
2019-04-26,4.7923,4.606,4.9578,4.5347,8199999.999999999,0.0392
2019-04-27,4.7381,4.7875,4.8299,4.6964,2340000.0,-0.0113
2019-04-28,4.7445,4.7403,4.7948,4.6347,2250000.0,0.0014000000000000002
2019-04-29,4.5096,4.7417,4.7556,4.4551,4120000.0,-0.0495
2019-04-30,4.8158,4.5133,4.8375,4.5133,4610000.0,0.0679
2019-05-01,4.7626,4.8159,4.8509,4.6682,3280000.0,-0.011000000000000001
2019-05-02,4.783,4.7647,4.8195,4.6287,3810000.0,0.0043
2019-05-03,5.0802,4.7783,5.1552,4.76,6930000.0,0.0621
2019-05-04,4.9478,5.0861,5.1895,4.7877,6210000.0,-0.026099999999999998
2019-05-05,4.8807,4.9489,5.0162,4.8309,3290000.0,-0.013600000000000001
2019-05-06,4.8921,4.883,4.9881,4.6534,5340000.0,0.0023
2019-05-07,4.8459,4.9015,5.0444,4.8085,5190000.0,-0.009399999999999999
2019-05-08,4.8962,4.8414,4.9334,4.7605,3240000.0,0.0104
2019-05-09,4.8513,4.9026,4.9931,4.7838,3180000.0,-0.0092
2019-05-10,4.8128,4.8534,4.937,4.5832,5680000.0,-0.0079
2019-05-11,5.4661,4.8174,5.7554,4.8171,12660000.0,0.13570000000000002
2019-05-12,5.3338,5.411,5.7535,5.1728,9650000.0,-0.0242
2019-05-13,5.5185,5.3305,5.7728,5.2968,6280000.0,0.0346
2019-05-14,5.9992,5.5179,6.1979,5.5027,11010000.0,0.08710000000000001
2019-05-15,6.472,6.0086,6.5426,5.9519,6200000.0,0.0788
2019-05-16,6.4938,6.4628,6.8882,6.2543,12670000.0,0.0034000000000000002
2019-05-17,6.0301,6.4925,6.5756,5.7342,14700000.0,-0.07139999999999999
2019-05-18,5.8822,6.0371,6.0792,5.8227,5020000.0,-0.0245
2019-05-19,6.4603,5.8766,6.5639,5.8739,8530000.0,0.0983
2019-05-20,6.2139,6.4546,6.4546,5.9878,6890000.0,-0.0381
2019-05-21,6.2594,6.2138,6.3559,6.0778,4830000.0,0.0073
2019-05-22,5.9283,6.2542,6.3384,5.8193,6060000.0,-0.0529
2019-05-23,6.017,5.9055,6.0942,5.7348,4250000.0,0.015
2019-05-24,6.406,6.0163,6.5734,5.9659,7140000.0,0.0647
2019-05-25,6.3595,6.4018,6.5387,6.2659,4550000.0,-0.0073
2019-05-26,6.8541,6.3632,6.9506,6.2048,6720000.0,0.07780000000000001
2019-05-27,7.9672,6.8818,8.1981,6.7993,16399999.999999998,0.1624
2019-05-28,8.0799,7.998,8.1827,7.6634,12400000.0,0.0141
2019-05-29,7.9652,8.0665,8.221,7.5159,8600000.0,-0.014199999999999999
2019-05-30,7.2948,7.968,8.4781,6.9022,19450000.0,-0.0842
2019-05-31,8.5599,7.295,8.6779,7.1941,17870000.0,0.1734
2019-06-01,7.7142,8.5568,8.6342,7.5953,18830000.0,-0.09880000000000001
2019-06-02,7.7189,7.7125,7.9801,7.4611,11920000.0,0.0006
2019-06-03,6.6886,7.7211,7.7214,6.5969,15540000.0,-0.1335
2019-06-04,6.2943,6.6424,6.8858,6.0643,18010000.0,-0.059000000000000004
2019-06-05,6.415,6.3161,6.5133,6.1453,10140000.0,0.0192
2019-06-06,6.3567,6.4029,6.4562,5.9636,8430000.0,-0.0091
2019-06-07,6.6229,6.358,6.7784,6.2918,7060000.0,0.04190000000000001
2019-06-08,6.3433,6.6161,6.6793,6.2023,5000000.0,-0.042199999999999994
2019-06-09,6.1469,6.3376,6.4656,5.9848,6350000.0,-0.031
2019-06-10,6.4326,6.1322,6.4846,6.0401,6630000.0,0.04650000000000001
2019-06-11,6.3122,6.4369,6.4737,6.1514,5150000.0,-0.0187
2019-06-12,6.4264,6.3169,6.4334,6.2145,5560000.0,0.0181
2019-06-13,6.4576,6.4254,6.5999,6.3639,6500000.0,0.0049
2019-06-14,6.5364,6.4595,6.5466,6.3471,4870000.0,0.012199999999999999
2019-06-15,6.8875,6.5367,6.9319,6.5188,5740000.0,0.0537
2019-06-16,6.9779,6.882,7.179,6.7839,7680000.0,0.0131
2019-06-17,7.1237,6.9714,7.2133,6.9518,6050000.0,0.0209
2019-06-18,6.7823,7.1314,7.1499,6.6511,5750000.0,-0.0479
2019-06-19,6.8543,6.7866,6.9568,6.7497,3060000.0,0.0106
2019-06-20,6.8277,6.8572,6.8888,6.6781,3830000.0,-0.0039000000000000003
2019-06-21,7.0305,6.8366,7.1182,6.8366,6700000.0,0.0297
2019-06-22,7.508,7.0204,7.5872,6.9636,12190000.0,0.0679
2019-06-23,7.2724,7.5027,7.6488,7.1853,6320000.0,-0.031400000000000004
2019-06-24,7.2547,7.2661,7.268,7.0372,4510000.0,-0.0024
2019-06-25,7.1756,7.2892,7.3057,6.9789,5160000.0,-0.0109
2019-06-26,6.8094,7.1724,7.4435,6.1442,16920000.0,-0.051
2019-06-27,5.9611,6.8106,6.8498,5.6467,20220000.0,-0.1246
2019-06-28,6.2238,5.9648,6.2731,5.7734,12180000.0,0.0441
2019-06-29,6.3297,6.2133,6.3915,6.0082,7400000.0,0.017
2019-06-30,5.7701,6.3469,6.3908,5.7076,8039999.999999999,-0.08839999999999999
2019-07-01,6.0516,5.8163,6.0652,5.5599,10550000.0,0.048799999999999996
2019-07-02,5.8961,6.0447,6.1383,5.5813,10060000.0,-0.025699999999999997
2019-07-03,6.0436,5.8954,6.0924,5.8179,7260000.0,0.025
2019-07-04,5.7184,6.0435,6.0563,5.6563,5600000.0,-0.0538
2019-07-05,5.7435,5.7139,5.861,5.6766,4260000.0,0.0044
2019-07-06,5.7692,5.741,5.9653,5.7014,4080000.0,0.0045000000000000005
2019-07-07,5.9319,5.7659,6.0161,5.7462,2780000.0,0.0282
2019-07-08,5.9389,5.9249,5.9763,5.8231,3680000.0,0.0012
2019-07-09,5.8825,5.9367,6.0113,5.8301,4990000.0,-0.0095
2019-07-10,5.2682,5.883,5.9116,5.0676,13970000.0,-0.10439999999999999
2019-07-11,4.6839,5.2618,5.2618,4.3988,17980000.0,-0.1109
2019-07-12,4.7882,4.6834,4.86,4.6023,8810000.0,0.0223
2019-07-13,4.7512,4.786,4.8235,4.5829,6190000.0,-0.0077
2019-07-14,4.1093,4.75,4.7698,4.0545,9780000.0,-0.1351
2019-07-15,4.2887,4.1023,4.4084,3.9833,10940000.0,0.0437
2019-07-16,3.6565,4.2924,4.356,3.3502,17660000.0,-0.1474
2019-07-17,3.8285,3.6601,4.1108,3.5364,13930000.0,0.047
2019-07-18,4.0974,3.8351,4.2116,3.7488,9900000.0,0.0702
2019-07-19,4.0366,4.0996,4.149,3.8081,5250000.0,-0.0148
2019-07-20,4.2994,4.0367,4.4567,4.0004,6170000.0,0.06509999999999999
2019-07-21,4.3264,4.3007,4.3442,4.1636,4390000.0,0.0063
2019-07-22,4.1257,4.3292,4.4118,3.9833,4680000.0,-0.0464
2019-07-23,4.15,4.12,4.276,3.9668,5130000.0,0.0059
2019-07-24,4.5796,4.1519,4.6469,4.0132,9920000.0,0.1035
2019-07-25,4.5662,4.58,4.6936,4.4352,6400000.0,-0.0029
2019-07-26,4.611,4.5659,4.6977,4.4216,4480000.0,0.0098
2019-07-27,4.2786,4.6074,4.7363,4.1876,7560000.0,-0.0721
2019-07-28,4.2646,4.2741,4.3303,3.904,4690000.0,-0.0033
2019-07-29,4.2108,4.2831,4.3913,4.1137,4840000.0,-0.0126
2019-07-30,4.1967,4.2108,4.2836,4.1471,3030000.0,-0.0033
2019-07-31,4.417,4.1959,4.4335,4.1897,2630000.0,0.0525
2019-08-01,4.299,4.4253,4.4405,4.2301,3030000.0,-0.026699999999999998
2019-08-02,4.1792,4.2991,4.3421,4.0482,3970000.0,-0.0279
2019-08-03,4.29,4.1818,4.3462,4.1692,2690000.0,0.0265
2019-08-04,4.214,4.2886,4.3092,4.176,1960000.0,-0.0177
2019-08-05,4.4599,4.2198,4.5694,4.215,4540000.0,0.0584
2019-08-06,4.1973,4.4599,4.4999,4.0746,5240000.0,-0.058899999999999994
2019-08-07,4.2224,4.1877,4.2773,4.144,3160000.0,0.006
2019-08-08,4.1698,4.224,4.2348,4.106,2300000.0,-0.0125
2019-08-09,3.9047,4.1676,4.1778,3.8349,4210000.0,-0.0636
2019-08-10,4.0644,3.9053,4.1387,3.879,4280000.0,0.0409
2019-08-11,4.1914,4.0655,4.2462,4.0632,3250000.0,0.031200000000000002
2019-08-12,4.1317,4.2045,4.2045,4.0787,1490000.0,-0.014199999999999999
2019-08-13,4.075,4.13,4.1418,3.9858,4010000.0,-0.0137
2019-08-14,3.6718,4.0828,4.1302,3.5812,6900000.0,-0.0989
2019-08-15,3.6254,3.6731,3.7169,3.5122,3500000.0,-0.0126
2019-08-16,3.5799,3.6174,3.6504,3.4931,3820000.0,-0.0126
2019-08-17,3.558,3.5801,3.6119,3.499,1550000.0,-0.0060999999999999995
2019-08-18,3.6909,3.564,3.7609,3.5115,2260000.0,0.0374
2019-08-19,3.7178,3.6884,3.7712,3.6465,2510000.0,0.0073
2019-08-20,3.6705,3.7199,3.7208,3.6009,1550000.0,-0.0127
2019-08-21,3.5136,3.6763,3.6822,3.4024,3650000.0,-0.042699999999999995
2019-08-22,3.6349,3.5278,3.7089,3.4527,3370000.0,0.0345
2019-08-23,3.6706,3.633,3.7673,3.5994,2910000.0,0.0098
2019-08-24,3.6617,3.6712,3.6826,3.5561,1920000.0,-0.0024
2019-08-25,3.5522,3.6607,3.6872,3.4745,2560000.0,-0.029900000000000003
2019-08-26,3.5842,3.5518,3.6884,3.5421,2530000.0,0.009000000000000001
2019-08-27,3.5529,3.5859,3.5937,3.4935,1220000.0,-0.0087
2019-08-28,3.2536,3.5485,3.5581,3.1311,5840000.0,-0.0842
2019-08-29,3.1929,3.254,3.261,3.0678,3640000.0,-0.0187
2019-08-30,3.215,3.1997,3.2811,3.1638,2310000.0,0.0069
2019-08-31,3.3223,3.2087,3.3996,3.1899,2190000.0,0.0334
2019-09-01,3.2572,3.3209,3.3386,3.0939,2850000.0,-0.0196
2019-09-02,3.3201,3.2562,3.3631,3.2207,2980000.0,0.019299999999999998
2019-09-03,3.3498,3.319,3.4566,3.3108,4790000.0,0.0089
