Date,Close,Open,High,Low,Volume,Change
2017-06-05,293750,295600,299000,290050,106390.0,-0.0063
2017-06-06,314000,293750,314600,292350,269510.0,0.0689
2017-06-07,305800,313800,313800,303700,154300.0,-0.026099999999999998
2017-06-08,304550,305600,306000,298050,112370.0,-0.0040999999999999995
2017-06-09,322000,304550,327750,304450,203290.0,0.057300000000000004
2017-06-10,377200,323000,399450,323000,713500.0,0.1714
2017-06-11,382000,377350,398450,340950,595850.0,0.0127
2017-06-12,468000,382450,487000,382450,1120000.0,0.22510000000000002
2017-06-13,458300,468450,480200,416300,644620.0,-0.0207
2017-06-14,421500,458350,462500,390050,499020.0,-0.0803
2017-06-15,433950,421400,438500,350100,1090000.0,0.029500000000000002
2017-06-16,436900,434500,440000,412300,400360.0,0.0068000000000000005
2017-06-17,456950,436850,458000,431150,260260.0,0.045899999999999996
2017-06-18,445000,456950,463500,442450,253740.0,-0.0262
2017-06-19,450200,445050,454650,445000,187050.0,0.011699999999999999
2017-06-20,455150,450200,462000,448650,229090.0,0.011000000000000001
2017-06-21,430400,455300,457000,400500,479380.0,-0.054400000000000004
2017-06-22,422400,430950,442750,415500,284700.0,-0.018600000000000002
2017-06-23,420450,422500,427500,418000,154710.0,-0.0046
2017-06-24,399400,420500,421800,390050,263000.0,-0.0501
2017-06-25,378000,399150,408000,320000,440540.0,-0.0536
2017-06-26,342500,378350,393050,297400,1050000.0,-0.09390000000000001
2017-06-27,354900,342500,354900,268300,1280000.0,0.0362
2017-06-28,388900,355000,397700,323600,1290000.0,0.0958
2017-06-29,357300,389000,391000,342700,998440.0,-0.08130000000000001
2017-06-30,356600,357000,373850,351000,498300.0,-0.002
2017-07-01,334500,356650,357250,323750,633100.0,-0.062
2017-07-02,339450,334800,353950,312550,618540.0,0.0148
2017-07-03,336000,339300,344900,332550,331500.0,-0.0102
2017-07-04,323750,336050,340550,323750,266010.0,-0.0365
2017-07-05,316900,323750,329100,305050,367220.0,-0.0212
2017-07-06,319600,316900,329950,311400,265670.0,0.0085
2017-07-07,296050,319600,320850,294050,261700.0,-0.0737
2017-07-08,299650,295950,304300,275150,453650.0,0.012199999999999999
2017-07-09,286800,299550,302700,285650,199690.0,-0.0429
2017-07-10,259000,287550,288450,230500,456410.0,-0.0969
2017-07-11,236900,258200,267500,223850,841680.0,-0.08529999999999999
2017-07-12,273800,236650,274850,229300,736500.0,0.1558
2017-07-13,247500,273800,273800,237750,419060.0,-0.09609999999999999
2017-07-14,233150,247650,248400,223150,362130.0,-0.057999999999999996
2017-07-15,190900,233050,234450,188000,708280.0,-0.1812
2017-07-16,180450,190550,195300,132750,1400000.0,-0.0547
2017-07-17,224600,180050,229900,175000,1610000.0,0.2447
2017-07-18,274500,224800,320450,206650,2080000.0,0.22219999999999998
2017-07-19,234200,274200,282000,207900,2260000.0,-0.14679999999999999
2017-07-20,254800,235000,264750,225450,1890000.0,0.08800000000000001
2017-07-21,242650,254000,264500,237800,746740.0,-0.04769999999999999
2017-07-22,254250,242700,257950,239050,457810.0,0.0478
2017-07-23,252000,254100,255550,245150,356310.0,-0.0088
2017-07-24,250200,252000,252950,249050,185620.0,-0.0070999999999999995
2017-07-25,232900,250100,250400,221250,1030000.0,-0.0691
2017-07-26,228600,233000,238500,218950,716590.0,-0.018500000000000003
2017-07-27,227900,228700,229650,226000,228320.0,-0.0031
2017-07-28,219900,227800,230000,217050,348170.0,-0.0351
2017-07-29,232700,219750,238950,201150,815070.0,0.0582
2017-07-30,225000,232800,236000,221300,692790.0,-0.0331
2017-07-31,233450,225200,234150,218300,509150.0,0.037599999999999995
2017-08-01,255400,234000,264300,234000,1660000.0,0.094
2017-08-02,248700,255650,259250,245200,599430.0,-0.0262
2017-08-03,254500,248700,257500,248450,660230.0,0.0233
2017-08-04,252050,254450,257650,248700,709660.0,-0.0096
2017-08-05,291000,252000,292100,250500,1270000.0,0.1545
2017-08-06,294150,291750,312000,281500,1570000.0,0.0108
2017-08-07,303150,293900,306550,286350,844980.0,0.030600000000000002
2017-08-08,336250,303100,339250,300500,1320000.0,0.1092
2017-08-09,336700,336100,363350,290500,2590000.0,0.0013
2017-08-10,335700,336800,347800,326500,901580.0,-0.003
2017-08-11,354000,337000,355600,335800,588140.0,0.0545
2017-08-12,355900,353900,362000,352800,655730.0,0.0054
2017-08-13,343350,356000,356800,326100,827010.0,-0.0353
2017-08-14,342800,343650,354450,340100,389720.0,-0.0016
