Date,Close,Open,High,Low,Volume,Change
2018-01-18,991.01,1006.25,1115.0,866.0,1760.0,-0.0151
2018-01-19,979.57,991.01,1090.0,871.0,1710.0,-0.0115
2018-01-20,1178.29,979.57,1239.89,979.57,970.0,0.2029
2018-01-21,1022.74,1178.29,1185.39,1010.84,670.0,-0.132
2018-01-22,999.37,1022.74,1152.61,944.97,1000.0,-0.0229
2018-01-23,1042.47,999.37,1180.0,949.89,900.0,0.0431
2018-01-24,1051.95,1042.47,1200.0,1000.0,1270.0,0.0091
2018-01-25,1062.72,1051.95,1163.83,1021.0,1060.0,0.0102
2018-01-26,1068.37,1063.79,1150.46,1000.35,1150.0,0.0053
2018-01-27,1134.3,1064.59,1180.0,1054.14,830.0,0.0617
2018-01-28,1251.02,1134.3,1280.0,1122.22,740.0,0.10289999999999999
2018-01-29,1203.6,1251.02,1274.0,1173.54,790.0,-0.0379
2018-01-30,1101.75,1203.6,1220.0,1080.0,570.0,-0.08460000000000001
2018-01-31,1116.08,1101.75,1152.5,1050.0,770.0,0.013000000000000001
2018-02-01,1059.99,1116.08,1171.6,1000.28,1250.0,-0.050300000000000004
2018-02-02,908.09,1059.99,1059.99,731.0,1280.0,-0.1433
2018-02-03,977.47,908.09,997.77,853.33,1240.0,0.0764
2018-02-04,839.61,977.47,1000.0,785.3,1190.0,-0.141
2018-02-05,691.35,839.61,864.0,614.84,1300.0,-0.1766
2018-02-06,799.96,691.35,821.97,551.0,1150.0,0.15710000000000002
2018-02-07,765.47,799.96,850.0,683.28,980.0,-0.0431
2018-02-08,795.28,764.71,838.7,758.05,1630.0,0.039
2018-02-09,871.0,790.57,910.0,773.8,1260.0,0.09519999999999999
2018-02-10,859.33,866.37,914.0,821.03,1600.0,-0.0134
2018-02-11,825.71,859.33,875.0,781.48,1450.0,-0.0391
2018-02-12,866.21,825.71,884.5,819.45,1630.0,0.049
2018-02-13,846.41,867.07,897.0,827.5,750.0,-0.0229
2018-02-14,924.04,846.41,957.0,845.53,1990.0,0.0917
2018-02-15,919.65,924.03,955.49,888.29,1270.0,-0.004699999999999999
2018-02-16,948.88,919.81,979.8,915.07,2210.0,0.0318
2018-02-17,970.77,948.39,979.8,941.72,1230.0,0.0231
2018-02-18,915.97,970.83,1760.0,885.11,2660.0,-0.0565
2018-02-19,946.03,915.05,980.91,910.0,2340.0,0.032799999999999996
2018-02-20,879.78,946.03,995.57,873.62,1400.0,-0.07
2018-02-21,830.52,879.78,891.0,817.1,1440.0,-0.055999999999999994
2018-02-22,811.4,830.53,905.0,793.0,2450.0,-0.023
2018-02-23,849.82,811.4,892.62,797.0,2350.0,0.047400000000000005
2018-02-24,826.22,849.81,876.17,809.17,2280.0,-0.0278
2018-02-25,842.54,826.13,864.19,812.85,1330.0,0.0197
2018-02-26,871.16,842.54,888.0,832.57,1030.0,0.034
2018-02-27,881.71,871.16,904.65,860.92,860.0,0.0121
2018-02-28,850.85,881.71,897.06,844.44,1030.0,-0.035
2018-03-01,873.35,850.85,887.49,848.89,1340.0,0.0265
2018-03-02,855.59,873.27,887.49,844.5,950.0,-0.0203
2018-03-03,853.59,855.59,886.25,851.0,840.0,-0.0023
2018-03-04,871.28,853.59,871.28,835.69,920.0,0.0207
2018-03-05,854.38,870.41,875.0,852.0,1070.0,-0.0194
