Date,Close,Open,High,Low,Change
1979-12-27,360.98,360.98,360.98,360.98,0.008199999999999999
1979-12-28,362.0,362.0,362.0,362.0,0.0028000000000000004
1979-12-31,361.42,361.42,361.42,361.42,-0.0016
1980-01-02,361.14,361.14,361.14,361.14,-0.0008
1980-01-03,361.03,361.03,361.03,361.03,-0.0003
1980-01-04,356.44,356.44,356.44,356.44,-0.0127
1980-01-07,351.87,351.87,351.87,351.87,-0.0128
1980-01-08,354.47,354.47,354.47,354.47,0.0074
1980-01-09,355.82,355.82,355.82,355.82,0.0038
1980-01-10,356.58,356.58,356.58,356.58,0.0021
1980-01-11,356.38,356.38,356.38,356.38,-0.0006
1980-01-14,356.65,356.65,356.65,356.65,0.0008
1980-01-15,360.53,360.53,360.53,360.53,0.0109
1980-01-16,357.99,357.99,357.99,357.99,-0.006999999999999999
1980-01-17,361.22,361.22,361.22,361.22,0.009000000000000001
1980-01-18,361.39,361.39,361.39,361.39,0.0005
1980-01-21,362.95,362.95,362.95,362.95,0.0043
1980-01-22,359.8,359.8,359.8,359.8,-0.0087
1980-01-23,355.7,355.7,355.7,355.7,-0.011399999999999999
1980-01-24,358.91,358.91,358.91,358.91,0.009000000000000001
1980-01-25,359.4,359.4,359.4,359.4,0.0014000000000000002
1980-01-28,359.9,359.9,359.9,359.9,0.0014000000000000002
1980-01-29,358.32,358.32,358.32,358.32,-0.0044
1980-01-30,358.55,358.55,358.55,358.55,0.0006
1980-01-31,357.66,357.66,357.66,357.66,-0.0025
1980-02-01,358.7,358.7,358.7,358.7,0.0029
1980-02-04,358.51,358.51,358.51,358.51,-0.0005
1980-02-05,358.43,358.43,358.43,358.43,-0.0002
1980-02-06,359.57,359.57,359.57,359.57,0.0032
1980-02-07,359.22,359.22,359.22,359.22,-0.001
1980-02-08,361.0,361.0,361.0,361.0,0.005
1980-02-11,361.49,361.49,361.49,361.49,0.0014000000000000002
1980-02-12,361.41,361.41,361.41,361.41,-0.0002
1980-02-13,363.18,363.18,363.18,363.18,0.0049
1980-02-14,365.29,365.29,365.29,365.29,0.0058
1980-02-15,364.68,364.68,364.68,364.68,-0.0017000000000000001
1980-02-18,365.84,365.84,365.84,365.84,0.0032
1980-02-19,365.85,365.85,365.85,365.85,0.0
1980-02-20,366.55,366.55,366.55,366.55,0.0019
1980-02-21,366.57,366.57,366.57,366.57,0.0001
1980-02-22,366.63,366.63,366.63,366.63,0.0002
1980-02-25,367.43,367.43,367.43,367.43,0.0022
1980-02-26,366.6,366.6,366.6,366.6,-0.0023
1980-02-27,366.91,366.91,366.91,366.91,0.0008
1980-02-28,367.26,367.26,367.26,367.26,0.001
1980-02-29,369.27,369.27,369.27,369.27,0.0055000000000000005
1980-03-03,363.35,363.35,363.35,363.35,-0.016
1980-03-04,359.23,359.23,359.23,359.23,-0.0113
1980-03-05,360.45,360.45,360.45,360.45,0.0034000000000000002
1980-03-06,360.91,360.91,360.91,360.91,0.0013
1980-03-07,360.07,360.07,360.07,360.07,-0.0023
1980-03-10,357.25,357.25,357.25,357.25,-0.0078000000000000005
1980-03-11,355.72,355.72,355.72,355.72,-0.0043
1980-03-12,356.93,356.93,356.93,356.93,0.0034000000000000002
1980-03-13,355.73,355.73,355.73,355.73,-0.0034000000000000002
1980-03-14,353.81,353.81,353.81,353.81,-0.0054
1980-03-17,347.35,347.35,347.35,347.35,-0.0183
1980-03-18,346.29,346.29,346.29,346.29,-0.0031
1980-03-19,346.81,346.81,346.81,346.81,0.0015
1980-03-20,347.85,347.85,347.85,347.85,0.003
1980-03-21,346.6,346.6,346.6,346.6,-0.0036
1980-03-24,345.25,345.25,345.25,345.25,-0.0039000000000000003
1980-03-25,344.15,344.15,344.15,344.15,-0.0032
1980-03-26,344.29,344.29,344.29,344.29,0.0004
1980-03-27,341.4,341.4,341.4,341.4,-0.0084
1980-03-28,339.76,339.76,339.76,339.76,-0.0048
1980-03-31,337.22,337.22,337.22,337.22,-0.0075
1980-04-01,339.6,339.6,339.6,339.6,0.0070999999999999995
1980-04-02,345.86,345.86,345.86,345.86,0.0184
1980-04-03,344.35,344.35,344.35,344.35,-0.0044
1980-04-08,349.07,349.07,349.07,349.07,0.0137
1980-04-09,349.47,349.47,349.47,349.47,0.0011
1980-04-10,347.55,347.55,347.55,347.55,-0.0055000000000000005
1980-04-11,352.9,352.9,352.9,352.9,0.0154
1980-04-14,350.69,350.69,350.69,350.69,-0.0063
1980-04-15,347.46,347.46,347.46,347.46,-0.0092
1980-04-16,347.96,347.96,347.96,347.96,0.0014000000000000002
1980-04-17,348.23,348.23,348.23,348.23,0.0008
1980-04-18,349.36,349.36,349.36,349.36,0.0032
1980-04-21,352.34,352.34,352.34,352.34,0.0085
1980-04-22,350.6,350.6,350.6,350.6,-0.0049
1980-04-23,349.86,349.86,349.86,349.86,-0.0021
1980-04-24,349.92,349.92,349.92,349.92,0.0002
1980-04-25,352.21,352.21,352.21,352.21,0.006500000000000001
1980-04-28,348.2,348.2,348.2,348.2,-0.011399999999999999
1980-04-29,345.05,345.05,345.05,345.05,-0.009000000000000001
1980-04-30,344.96,344.96,344.96,344.96,-0.0003
1980-05-01,346.75,346.75,346.75,346.75,0.0052
1980-05-02,343.64,343.64,343.64,343.64,-0.009000000000000001
1980-05-06,335.79,335.79,335.79,335.79,-0.022799999999999997
1980-05-07,337.23,337.23,337.23,337.23,0.0043
1980-05-08,337.92,337.92,337.92,337.92,0.002
1980-05-09,333.49,333.49,333.49,333.49,-0.0131
1980-05-12,328.8,328.8,328.8,328.8,-0.0141
1980-05-13,328.83,328.83,328.83,328.83,0.0001
1980-05-14,328.77,328.77,328.77,328.77,-0.0002
1980-05-15,329.96,329.96,329.96,329.96,0.0036
1980-05-16,331.86,331.86,331.86,331.86,0.0058
1980-05-19,330.07,330.07,330.07,330.07,-0.0054
1980-05-20,326.55,326.55,326.55,326.55,-0.010700000000000001
1980-05-21,326.41,326.41,326.41,326.41,-0.0004
1980-05-22,325.52,325.52,325.52,325.52,-0.0027
1980-05-23,323.29,323.29,323.29,323.29,-0.0069
1980-05-27,322.87,322.87,322.87,322.87,-0.0013
1980-05-28,328.07,328.07,328.07,328.07,0.0161
1980-05-29,327.82,327.82,327.82,327.82,-0.0008
1980-05-30,326.06,326.06,326.06,326.06,-0.0054
1980-06-02,326.69,326.69,326.69,326.69,0.0019
1980-06-03,326.13,326.13,326.13,326.13,-0.0017000000000000001
1980-06-04,324.68,324.68,324.68,324.68,-0.0044
1980-06-05,322.73,322.73,322.73,322.73,-0.006
1980-06-06,322.54,322.54,322.54,322.54,-0.0006
1980-06-09,319.51,319.51,319.51,319.51,-0.009399999999999999
1980-06-10,318.53,318.53,318.53,318.53,-0.0031
1980-06-11,320.53,320.53,320.53,320.53,0.0063
1980-06-12,319.54,319.54,319.54,319.54,-0.0031
1980-06-13,320.13,320.13,320.13,320.13,0.0018
1980-06-16,317.84,317.84,317.84,317.84,-0.0072
1980-06-17,317.55,317.55,317.55,317.55,-0.0009
1980-06-18,318.6,318.6,318.6,318.6,0.0033
1980-06-19,318.31,318.31,318.31,318.31,-0.0009
1980-06-20,318.81,318.81,318.81,318.81,0.0016
1980-06-23,318.15,318.15,318.15,318.15,-0.0021
1980-06-24,318.58,318.58,318.58,318.58,0.0014000000000000002
1980-06-25,320.66,320.66,320.66,320.66,0.006500000000000001
1980-06-26,319.89,319.89,319.89,319.89,-0.0024
1980-06-27,320.55,320.55,320.55,320.55,0.0021
1980-06-30,324.03,324.03,324.03,324.03,0.0109
1980-07-01,323.81,323.81,323.81,323.81,-0.0007000000000000001
1980-07-02,322.66,322.66,322.66,322.66,-0.0036
1980-07-03,323.7,323.7,323.7,323.7,0.0032
1980-07-04,324.22,324.22,324.22,324.22,0.0016
1980-07-07,324.76,324.76,324.76,324.76,0.0017000000000000001
1980-07-08,326.91,326.91,326.91,326.91,0.0066
1980-07-09,325.64,325.64,325.64,325.64,-0.0039000000000000003
1980-07-10,323.97,323.97,323.97,323.97,-0.0051
1980-07-11,324.3,324.3,324.3,324.3,0.001
1980-07-14,324.82,324.82,324.82,324.82,0.0016
1980-07-15,325.81,325.81,325.81,325.81,0.003
1980-07-16,325.34,325.34,325.34,325.34,-0.0014000000000000002
1980-07-17,326.26,326.26,326.26,326.26,0.0028000000000000004
1980-07-18,325.95,325.95,325.95,325.95,-0.001
1980-07-21,328.2,328.2,328.2,328.2,0.0069
1980-07-22,329.69,329.69,329.69,329.69,0.0045000000000000005
1980-07-23,333.87,333.87,333.87,333.87,0.0127
1980-07-24,333.18,333.18,333.18,333.18,-0.0021
1980-07-25,336.83,336.83,336.83,336.83,0.011000000000000001
1980-07-28,338.89,338.89,338.89,338.89,0.0060999999999999995
1980-07-29,335.66,335.66,335.66,335.66,-0.0095
1980-07-30,332.7,332.7,332.7,332.7,-0.0088
1980-07-31,332.96,332.96,332.96,332.96,0.0008
1980-08-01,329.95,329.95,329.95,329.95,-0.009000000000000001
1980-08-04,329.63,329.63,329.63,329.63,-0.001
1980-08-05,331.28,331.28,331.28,331.28,0.005
1980-08-06,331.3,331.3,331.3,331.3,0.0001
1980-08-07,329.73,329.73,329.73,329.73,-0.004699999999999999
1980-08-08,330.59,330.59,330.59,330.59,0.0026
1980-08-11,329.47,329.47,329.47,329.47,-0.0034000000000000002
1980-08-12,325.63,325.63,325.63,325.63,-0.011699999999999999
