Date,Close,Open,High,Low,Volume,Change
2000-11-01,0.99,1.0,1.0,0.99,15250.0,-0.01
2000-11-02,1.0,1.0,1.0,1.0,1250.0,0.0101
2000-11-03,1.0,1.0,1.0,1.0,6750.0,0.0
2000-11-06,1.0,1.0,1.0,1.0,18750.0,0.0
2000-11-07,1.0,1.0,1.0,1.0,3750.0,0.0
2000-11-09,1.0,1.0,1.0,1.0,7000.0,0.0
2000-11-10,1.0,1.02,1.02,1.0,2500.0,0.0
2000-11-13,1.0,1.0,1.0,1.0,11750.0,0.0
2000-11-15,1.0,1.02,1.02,1.0,14750.0,0.0
2000-11-20,0.98,1.0,1.0,0.98,19000.0,-0.02
2000-11-29,0.98,0.98,0.98,0.98,1000.0,0.0
2000-11-30,0.98,0.98,0.98,0.98,18000.0,0.0
2000-12-01,0.96,0.96,0.96,0.96,2500.0,-0.0204
2000-12-04,0.96,0.96,0.96,0.96,6250.0,0.0
2000-12-05,0.96,0.96,0.96,0.96,6530.0,0.0
2000-12-06,0.96,0.96,0.96,0.96,1250.0,0.0
2000-12-07,0.96,0.96,0.96,0.96,2750.0,0.0
2000-12-08,0.96,0.96,0.96,0.96,7510.0,0.0
2000-12-11,0.94,0.96,0.96,0.94,12630.0,-0.0208
2000-12-13,0.72,0.72,0.72,0.72,6250.0,-0.23399999999999999
2000-12-14,0.74,0.74,0.74,0.74,1000.0,0.0278
2000-12-18,0.8,0.8,0.8,0.8,1250.0,0.08109999999999999
2000-12-21,0.82,0.82,0.82,0.82,14750.0,0.025
2000-12-22,0.62,0.8,0.8,0.62,80750.0,-0.2439
2001-01-05,0.64,0.66,0.66,0.64,8250.0,0.0323
2001-01-10,0.6,0.6,0.6,0.6,8250.0,-0.0625
2001-01-17,0.62,0.62,0.62,0.62,2500.0,0.0333
2001-01-18,0.76,0.76,0.76,0.76,11750.0,0.22579999999999997
2001-01-22,0.64,0.64,0.64,0.64,2500.0,-0.15789999999999998
2001-01-25,0.68,0.68,0.68,0.68,1500.0,0.0625
2001-01-29,0.68,0.64,0.68,0.64,16250.0,0.0
2001-01-30,0.68,0.68,0.68,0.68,5250.0,0.0
2001-01-31,0.78,0.79,0.79,0.72,5000.0,0.1471
2001-02-02,0.64,0.78,0.8,0.64,30500.0,-0.1795
2001-02-05,0.64,0.68,0.68,0.64,4000.0,0.0
2001-02-07,0.62,0.64,0.64,0.62,10500.0,-0.031200000000000002
2001-02-08,0.7,0.7,0.7,0.7,4250.0,0.129
2001-02-12,0.7,0.7,0.7,0.7,4250.0,0.0
2001-02-13,0.68,0.68,0.68,0.68,500.0,-0.0286
2001-02-14,0.74,0.74,0.74,0.74,2500.0,0.0882
2001-02-15,0.66,0.66,0.66,0.66,2500.0,-0.1081
2001-02-16,0.7,0.7,0.7,0.7,250.0,0.060599999999999994
2001-02-20,0.7,0.7,0.7,0.7,6250.0,0.0
2001-02-23,0.66,0.7,0.7,0.66,15000.0,-0.0571
2001-03-08,0.68,0.68,0.68,0.68,250.0,0.030299999999999997
2001-03-09,0.68,0.72,0.72,0.68,10000.0,0.0
2001-03-13,0.72,0.72,0.72,0.72,2500.0,0.0588
2001-03-19,0.76,0.76,0.76,0.76,13750.0,0.0556
2001-03-22,0.76,0.76,0.76,0.76,72500.0,0.0
2001-03-23,0.78,0.72,0.8,0.7,40000.0,0.0263
2001-03-26,0.78,0.78,0.78,0.78,7500.0,0.0
2001-03-27,0.74,0.74,0.74,0.74,2000.0,-0.0513
2001-03-28,0.74,0.76,0.76,0.74,13790.0,0.0
2001-03-29,0.72,0.72,0.72,0.72,2500.0,-0.027000000000000003
2001-03-30,0.74,0.74,0.74,0.74,12500.0,0.0278
2001-04-03,0.74,0.74,0.74,0.74,10710.0,0.0
2001-04-09,0.76,0.76,0.76,0.76,1250.0,0.027000000000000003
2001-04-12,0.8,0.8,0.8,0.8,5750.0,0.0526
2001-04-18,0.8,0.8,0.8,0.8,16079.999999999998,0.0
2001-04-19,0.8,0.8,0.8,0.8,4750.0,0.0
2001-04-26,0.82,0.82,0.82,0.82,2500.0,0.025
2001-04-27,0.82,0.82,0.82,0.82,3500.0,0.0
2001-04-30,0.8,0.8,0.8,0.8,16500.0,-0.024399999999999998
2001-05-01,0.8,0.8,0.8,0.8,5000.0,0.0
2001-05-02,0.82,0.84,0.84,0.82,8930.0,0.025
2001-05-03,0.84,0.82,0.84,0.82,5000.0,0.024399999999999998
2001-05-04,0.82,0.82,0.82,0.82,5000.0,-0.023799999999999998
2001-05-07,0.84,0.84,0.84,0.84,5000.0,0.024399999999999998
2001-05-08,0.8,0.84,0.84,0.8,12500.0,-0.047599999999999996
2001-05-09,0.86,0.84,0.86,0.84,14250.0,0.075
2001-05-10,0.9,0.9,0.9,0.9,28000.0,0.04650000000000001
2001-05-11,0.84,0.84,0.84,0.84,5000.0,-0.0667
2001-05-14,0.84,0.84,0.84,0.84,7500.0,0.0
2001-05-15,0.82,0.82,0.82,0.82,21250.0,-0.023799999999999998
2001-05-16,0.84,0.84,0.84,0.84,17500.0,0.024399999999999998
2001-05-17,0.84,0.84,0.84,0.84,7500.0,0.0
2001-05-18,0.84,0.84,0.84,0.84,17750.0,0.0
2001-05-22,0.84,0.84,0.84,0.84,10000.0,0.0
2001-05-23,0.84,0.84,0.84,0.84,5000.0,0.0
2001-05-24,0.82,0.83,0.83,0.8,23750.0,-0.023799999999999998
2001-05-25,0.82,0.82,0.82,0.82,12500.0,0.0
2001-05-28,0.83,0.82,0.84,0.82,22250.0,0.012199999999999999
