Date,Close,Open,High,Low,Volume,Change
1988-09-16,1.037,1.037,1.037,1.037,10.0,-0.0067
1988-09-28,1.067,1.067,1.067,1.067,10.0,-0.0111
1988-10-20,1.323,1.323,1.323,1.323,10.0,0.02
1989-01-11,1.473,1.473,1.473,1.473,10.0,-0.004699999999999999
1989-02-27,1.386,1.387,1.387,1.387,30.0,-0.015600000000000001
1989-03-01,1.474,1.474,1.474,1.474,20.0,0.061200000000000004
1989-03-08,1.49,1.53,1.53,1.53,20.0,-0.0197
1989-03-09,1.47,1.47,1.47,1.47,10.0,-0.0134
1989-03-15,1.433,1.433,1.433,1.433,10.0,-0.0158
1989-03-16,1.407,1.399,1.408,1.399,10.0,-0.0181
1989-04-05,1.316,1.316,1.316,1.316,20.0,0.0123
1989-04-06,1.327,1.327,1.327,1.327,10.0,0.0084
1989-04-07,1.361,1.361,1.361,1.361,40.0,0.0256
1989-04-11,1.433,1.433,1.433,1.433,20.0,-0.0014000000000000002
1989-04-12,1.45,1.45,1.45,1.45,10.0,0.011899999999999999
1989-05-01,1.394,1.394,1.394,1.394,10.0,-0.016200000000000003
1989-05-02,1.335,1.335,1.335,1.335,10.0,-0.042300000000000004
1989-05-03,1.333,1.333,1.333,1.333,10.0,-0.0015
1989-05-04,1.351,1.351,1.351,1.351,10.0,0.013500000000000002
1989-05-05,1.328,1.341,1.341,1.341,10.0,-0.017
1989-05-18,1.188,1.188,1.188,1.188,10.0,-0.0182
1989-05-24,1.107,1.107,1.107,1.107,10.0,-0.0045000000000000005
1989-06-29,1.11,1.127,1.127,1.127,40.0,-0.0045000000000000005
1989-07-05,1.046,1.046,1.046,1.046,20.0,-0.0368
1989-07-06,1.02,1.02,1.02,1.02,50.0,-0.024900000000000002
1989-07-10,1.052,1.08,1.083,1.055,10.0,-0.0038
1989-07-12,1.077,1.077,1.077,1.077,20.0,0.0287
1989-07-13,1.063,1.063,1.063,1.063,10.0,-0.013000000000000001
1989-07-14,1.071,1.07,1.07,1.07,10.0,0.0075
1989-07-17,1.083,1.083,1.083,1.083,10.0,0.011200000000000002
1989-07-18,1.119,1.099,1.099,1.099,10.0,0.0332
1989-07-19,1.123,1.123,1.123,1.123,60.0,0.0036
1989-07-20,1.117,1.117,1.117,1.117,20.0,-0.0053
1989-07-26,1.147,1.147,1.147,1.147,30.0,-0.0171
1989-08-02,1.158,1.158,1.158,1.155,10.0,0.012199999999999999
1989-08-03,1.151,1.159,1.159,1.155,10.0,-0.006
1989-08-14,1.23,1.225,1.225,1.225,10.0,0.025
1989-08-30,1.327,1.327,1.327,1.327,10.0,0.009899999999999999
1989-09-08,1.307,1.327,1.33,1.327,20.0,-0.0158
1989-09-12,1.345,1.353,1.353,1.345,30.0,0.0052
1989-09-13,1.364,1.364,1.364,1.364,30.0,0.0141
1989-09-14,1.408,1.39,1.427,1.39,10.0,0.0323
1989-09-15,1.402,1.4,1.4,1.395,10.0,-0.0043
1989-09-18,1.417,1.417,1.417,1.417,20.0,0.010700000000000001
1989-09-19,1.405,1.435,1.435,1.42,50.0,-0.0085
1989-09-20,1.387,1.387,1.387,1.387,10.0,-0.0128
1989-09-21,1.386,1.383,1.387,1.383,10.0,-0.0007000000000000001
1989-09-25,1.35,1.35,1.35,1.35,20.0,-0.0196
1989-09-26,1.317,1.317,1.317,1.317,10.0,-0.024399999999999998
1989-10-17,1.308,1.308,1.308,1.308,10.0,0.0015
1989-10-19,1.3,1.306,1.306,1.306,20.0,0.015600000000000001
1989-10-23,1.22,1.22,1.22,1.22,10.0,-0.0287
1989-11-21,1.112,1.112,1.112,1.112,20.0,0.0202
1989-11-22,1.099,1.099,1.099,1.099,10.0,-0.011699999999999999
1989-11-29,1.115,1.115,1.115,1.115,50.0,-0.0089
1989-11-30,1.113,1.113,1.113,1.113,30.0,-0.0018
1989-12-01,1.093,1.115,1.115,1.093,130.0,-0.018000000000000002
1989-12-04,1.083,1.1,1.1,1.081,90.0,-0.0091
1989-12-05,1.062,1.054,1.065,1.052,50.0,-0.0194
1989-12-06,1.067,1.068,1.069,1.06,30.0,0.004699999999999999
1989-12-07,1.069,1.067,1.069,1.067,30.0,0.0019
1989-12-08,1.06,1.065,1.067,1.053,150.0,-0.0084
1989-12-11,1.057,1.06,1.06,1.05,120.0,-0.0028000000000000004
1989-12-12,1.031,1.035,1.042,1.031,130.0,-0.0246
1989-12-13,1.065,1.052,1.065,1.047,130.0,0.033
1989-12-14,1.048,1.065,1.069,1.048,70.0,-0.016
1989-12-15,1.056,1.04,1.06,1.04,130.0,0.0076
1989-12-18,1.045,1.052,1.052,1.045,60.0,-0.0104
1989-12-19,1.062,1.04,1.063,1.04,190.0,0.0163
1989-12-20,1.065,1.065,1.073,1.064,70.0,0.0028000000000000004
1989-12-21,1.075,1.065,1.075,1.059,120.0,0.009399999999999999
1989-12-22,1.098,1.085,1.098,1.085,100.0,0.021400000000000002
1989-12-26,1.094,1.107,1.107,1.098,110.0,-0.0036
1989-12-27,1.073,1.096,1.096,1.073,70.0,-0.0192
1989-12-28,1.065,1.056,1.065,1.055,260.0,-0.0075
1989-12-29,1.069,1.06,1.069,1.059,160.0,0.0038
1990-01-02,1.068,1.051,1.067,1.051,350.0,-0.0009
1990-01-03,1.101,1.078,1.099,1.075,410.0,0.030899999999999997
1990-01-04,1.089,1.103,1.117,1.087,120.0,-0.0109
1990-01-05,1.1,1.096,1.103,1.096,210.0,0.0101
1990-01-08,1.119,1.105,1.122,1.105,120.0,0.0173
1990-01-09,1.108,1.125,1.128,1.108,80.0,-0.0098
