Date,Close,Open,High,Low,Volume,Change
2014-11-04,176.98,177.44,178.46,176.04,28890.0,-0.0026
2014-11-05,177.22,176.98,177.78,174.24,43150.0,0.0014000000000000002
2014-11-06,179.64,177.24,179.94,177.16,37250.0,0.0137
2014-11-07,180.13,179.64,180.46,178.78,23960.0,0.0027
2014-11-10,180.62,177.55,182.22,177.55,44590.0,0.0027
2014-11-11,181.83,180.62,182.79,180.57,60070.0,0.0067
2014-11-12,185.92,182.48,185.93,181.82,54560.0,0.0225
2014-11-13,186.04,185.87,187.26,184.76,47120.0,0.0006
2014-11-14,184.47,186.09,186.09,182.34,52190.0,-0.0084
2014-11-17,185.11,184.53,185.85,184.53,47850.0,0.0034999999999999996
2014-11-18,182.85,185.06,185.33,182.85,43710.0,-0.012199999999999999
2014-11-19,181.52,182.04,182.72,179.69,51340.0,-0.0073
2014-11-20,183.06,179.33,183.67,178.9,40480.0,0.0085
2014-11-21,180.28,182.24,183.62,180.11,47910.0,-0.0152
2014-11-24,176.92,180.32,180.34,176.92,32540.0,-0.018600000000000002
2014-11-25,180.09,176.94,180.33,176.67,26130.0,0.0179
2014-11-26,175.26,179.55,180.89,175.25,50760.0,-0.0268
2014-11-27,176.99,174.71,176.99,171.87,33700.0,0.009899999999999999
2014-11-28,175.2,176.99,177.58,174.23,49310.0,-0.0101
2014-12-01,174.46,173.4,177.73,173.27,30970.0,-0.0042
2014-12-02,175.46,174.46,176.65,174.46,31110.0,0.005699999999999999
2014-12-03,177.28,175.57,178.04,175.42,30940.0,0.0104
2014-12-04,178.43,175.09,179.79,175.07,35840.0,0.006500000000000001
2014-12-05,178.2,178.43,179.42,176.69,30370.0,-0.0013
2014-12-08,174.32,178.14,178.47,174.32,44450.0,-0.0218
2014-12-09,165.21,172.39,174.32,164.6,58280.0,-0.052300000000000006
2014-12-10,169.29,163.47,169.66,162.17,32520.000000000004,0.024700000000000003
2014-12-11,166.9,167.48,169.91,165.98,23810.0,-0.0141
2014-12-12,167.99,166.61,168.29,165.68,23680.0,0.006500000000000001
2014-12-15,166.4,168.1,169.32,166.4,28400.0,-0.0095
2014-12-16,161.7,165.76,166.4,161.12,37580.0,-0.0282
2014-12-17,157.09,160.41,162.99,152.23,47020.0,-0.0285
2014-12-18,161.65,156.74,162.44,156.53,32990.0,0.028999999999999998
2014-12-19,157.53,160.94,163.4,157.5,45630.0,-0.0255
2014-12-22,161.09,156.58,161.9,156.58,26320.0,0.0226
2014-12-23,160.53,161.09,162.32,159.4,30030.0,-0.0034999999999999996
2014-12-24,161.48,159.93,162.22,159.45,26880.0,0.0059
2014-12-25,158.55,160.94,160.95,157.92,19720.0,-0.0181
2014-12-26,155.72,158.0,158.77,154.98,26870.0,-0.0178
2014-12-29,151.39,151.07,157.33,150.94,29940.0,-0.0278
2014-12-30,155.75,151.39,155.75,148.37,32240.000000000004,0.0288
2014-12-31,160.83,155.75,162.2,155.75,40410.0,0.0326
2015-01-05,159.71,160.83,161.79,159.57,24090.0,-0.006999999999999999
2015-01-06,163.14,159.66,163.22,156.99,35320.0,0.0215
2015-01-07,163.57,163.14,165.93,162.14,32590.000000000004,0.0026
2015-01-08,163.07,163.51,164.83,162.18,26170.0,-0.0031
2015-01-09,166.71,162.65,167.69,162.36,40960.0,0.0223
