Date,Close,Open,High,Low,Volume,Change
2011-07-01,9868.07,9883.0,9898.5,9853.5,111590.0,0.0053
2011-07-04,9965.09,9988.0,10003.5,9943.5,131380.0,0.0098
2011-07-05,9972.46,9973.0,9993.5,9948.5,132580.0,0.0007000000000000001
2011-07-06,10082.48,9993.0,10083.5,9973.5,137710.0,0.011000000000000001
2011-07-07,10071.14,10048.0,10103.5,10028.5,133180.0,-0.0011
2011-07-08,10137.73,10178.0,10193.5,10128.5,127270.0,0.0066
2011-07-11,10069.53,10063.0,10113.5,10058.5,104860.0,-0.0067
2011-07-12,9925.92,9938.0,9968.5,9903.5,135000.0,-0.0143
2011-07-13,9963.14,9893.0,9978.5,9883.0,118980.0,0.0037
2011-07-14,9936.12,9928.0,10003.5,9888.5,126810.0,-0.0027
2011-07-15,9974.47,9928.0,9983.5,9923.0,101330.0,0.0039000000000000003
2011-07-19,9889.72,9931.0,9943.5,9883.0,108770.0,-0.0085
2011-07-20,10005.9,10018.0,10043.5,9988.5,104410.0,0.011699999999999999
2011-07-21,10010.39,10028.0,10033.0,9973.5,125490.0,0.0004
2011-07-22,10132.11,10116.0,10153.5,10083.5,134170.0,0.012199999999999999
2011-07-25,10050.01,10083.0,10093.5,10043.5,104140.0,-0.008100000000000001
2011-07-26,10097.72,10078.0,10136.5,10046.5,111210.0,0.004699999999999999
2011-07-27,10047.19,10051.0,10056.5,10016.5,123880.0,-0.005
2011-07-28,9901.35,9926.0,9941.5,9851.5,131430.0,-0.014499999999999999
2011-07-29,9833.03,9866.0,9911.5,9821.5,146470.0,-0.0069
2011-08-01,9965.01,9921.0,10041.5,9921.0,144990.0,0.0134
2011-08-02,9844.59,9866.0,9881.5,9821.5,120550.0,-0.0121
2011-08-03,9637.14,9671.0,9686.5,9606.5,131230.0,-0.021099999999999997
2011-08-04,9659.18,9681.0,9766.5,9611.5,154810.0,0.0023
2011-08-05,9299.88,9282.0,9347.5,9257.5,189040.0,-0.037200000000000004
2011-08-08,9097.56,9157.0,9212.5,9052.5,147030.0,-0.0218
2011-08-09,8944.48,8762.0,8962.0,8652.5,252480.0,-0.0168
2011-08-10,9038.74,9162.0,9162.0,9017.5,173680.0,0.0105
2011-08-11,8981.94,8832.0,8982.5,8817.0,162890.0,-0.0063
2011-08-12,8963.72,9082.0,9082.0,8922.5,150700.0,-0.002
2011-08-15,9086.41,9082.0,9112.5,9027.5,107830.0,0.0137
2011-08-16,9107.43,9132.0,9147.5,9072.5,117500.0,0.0023
2011-08-17,9057.26,9037.0,9080.5,9002.5,115070.0,-0.0055000000000000005
2011-08-18,8943.76,9033.0,9045.0,8925.5,119500.0,-0.0125
2011-08-19,8719.24,8725.0,8790.5,8700.5,152130.0,-0.025099999999999997
2011-08-22,8628.13,8685.0,8775.5,8615.5,146230.0,-0.0104
2011-08-23,8733.01,8690.0,8740.5,8630.5,158700.0,0.012199999999999999
2011-08-24,8639.61,8800.0,8815.5,8615.5,167110.0,-0.010700000000000001
2011-08-25,8772.36,8755.0,8845.5,8735.5,160770.0,0.0154
2011-08-26,8797.78,8745.0,8797.78,8735.0,140860.0,0.0029
2011-08-29,8851.35,8796.0,8921.5,8746.5,143660.0,0.0060999999999999995
2011-08-30,8953.9,8958.0,8993.5,8939.5,135610.0,0.0116
2011-08-31,8955.2,8934.0,8964.5,8906.5,136210.0,0.0001
2011-09-01,9060.8,9009.0,9094.5,8999.5,126170.0,0.0118
2011-09-02,8950.74,8979.0,9009.5,8910.5,126950.0,-0.0121
2011-09-05,8784.46,8830.0,8840.5,8757.5,112070.0,-0.018600000000000002
2011-09-06,8590.57,8680.0,8705.5,8585.5,152830.0,-0.022099999999999998
2011-09-07,8763.41,8735.0,8771.5,8700.5,130050.00000000001,0.020099999999999996
2011-09-08,8793.12,8860.0,8875.0,8758.5,104900.0,0.0034000000000000002
2011-09-09,8737.66,8768.0,8808.5,8728.5,169330.0,-0.0063
2011-09-12,8535.67,8528.0,8578.5,8518.5,126740.0,-0.0231
2011-09-13,8616.55,8583.0,8633.5,8553.5,126070.0,0.0095
2011-09-14,8518.57,8623.0,8668.5,8498.5,129430.0,-0.011399999999999999
2011-09-15,8668.86,8668.0,8693.5,8633.5,126580.0,0.0176
2011-09-16,8864.16,8803.0,8864.16,8778.5,143270.0,0.0225
2011-09-20,8721.24,8748.0,8763.5,8708.5,103930.0,-0.0161
2011-09-21,8741.16,8721.0,8773.5,8713.5,106680.0,0.0023
2011-09-22,8560.26,8643.02,8643.02,8545.46,125030.0,-0.0207
2011-09-26,8374.13,8547.62,8556.66,8359.7,159030.0,-0.0217
2011-09-27,8609.95,8496.33,8609.95,8479.05,140460.0,0.0282
2011-09-28,8615.65,8607.92,8665.54,8595.85,140250.0,0.0007000000000000001
2011-09-29,8701.23,8527.64,8706.14,8501.42,165670.0,0.009899999999999999
2011-09-30,8700.29,8713.91,8756.0,8653.62,148700.0,-0.0001
2011-10-03,8545.48,8567.98,8577.52,8455.67,143680.0,-0.0178
2011-10-04,8456.12,8426.39,8470.76,8359.24,158670.0,-0.0105
2011-10-05,8382.98,8491.43,8501.03,8343.01,158060.0,-0.0086
2011-10-06,8522.02,8463.83,8545.79,8463.83,123510.0,0.0166
2011-10-07,8605.62,8593.22,8663.57,8589.36,122380.0,0.0098
2011-10-11,8773.68,8733.54,8806.44,8725.62,112570.0,0.0195
2011-10-12,8738.9,8719.67,8763.02,8689.38,109850.0,-0.004
2011-10-13,8823.25,8832.81,8854.16,8808.73,108260.0,0.0097
2011-10-14,8747.96,8782.91,8787.89,8733.71,108300.0,-0.0085
2011-10-17,8879.6,8881.44,8911.7,8856.58,95930.0,0.015
2011-10-18,8741.91,8758.74,8773.99,8727.39,81590.0,-0.0155
2011-10-19,8772.54,8808.25,8831.55,8745.36,91180.0,0.0034999999999999996
2011-10-20,8682.15,8733.6,8733.6,8672.21,109210.0,-0.0103
2011-10-21,8678.89,8679.04,8700.49,8652.26,96990.0,-0.0004
2011-10-24,8843.98,8764.92,8844.28,8762.02,97340.0,0.019
