Date,Close,Open,High,Low,Change
1989-10-17,4.7234,4.7234,4.7234,4.7234,-0.004
1989-10-18,4.7606,4.7606,4.7606,4.7606,0.0079
1989-10-19,4.7482,4.7482,4.7482,4.7482,-0.0026
1989-10-20,4.7275,4.7275,4.7275,4.7275,-0.0044
1989-10-23,4.7489,4.7489,4.7489,4.7489,0.0045000000000000005
1989-10-24,4.7691,4.7691,4.7691,4.7691,0.0043
1989-10-25,4.7626,4.7626,4.7626,4.7626,-0.0014000000000000002
1989-10-26,4.7448,4.7448,4.7448,4.7448,-0.0037
1989-10-27,4.7589,4.7589,4.7589,4.7589,0.003
1989-10-30,4.7386,4.7386,4.7386,4.7386,-0.0043
1989-10-31,4.718,4.718,4.718,4.718,-0.0043
1989-11-01,4.6905,4.6905,4.6905,4.6905,-0.0058
1989-11-02,4.7027,4.7027,4.7027,4.7027,0.0026
1989-11-03,4.7063,4.7063,4.7063,4.7063,0.0008
1989-11-06,4.6886,4.6886,4.6886,4.6886,-0.0038
1989-11-07,4.7212,4.7212,4.7212,4.7212,0.006999999999999999
1989-11-08,4.7083,4.7067,4.7083,4.7067,-0.0027
1989-11-09,4.715,4.7142,4.715,4.7142,0.0014000000000000002
1989-11-10,4.7034,4.7017,4.7034,4.7017,-0.0025
1989-11-13,4.6905,4.6894,4.6905,4.6894,-0.0027
1989-11-14,4.717,4.7153,4.717,4.7153,0.005600000000000001
1989-11-15,4.6925,4.6917,4.6925,4.6917,-0.0052
1989-11-16,4.682,4.6812,4.682,4.6812,-0.0022
1989-11-17,4.6754,4.6738,4.6754,4.6738,-0.0014000000000000002
1989-11-20,4.6756,4.6748,4.6756,4.6748,0.0
1989-11-21,4.7024,4.7019,4.7024,4.7019,0.005699999999999999
1989-11-22,4.7147,4.713,4.7147,4.713,0.0026
1989-11-24,4.7061,4.7045,4.7061,4.7045,-0.0018
1989-11-27,4.7141,4.7125,4.7141,4.7125,0.0017000000000000001
1989-11-28,4.7151,4.7134,4.7151,4.7134,0.0002
1989-11-29,4.7264,4.7248,4.7264,4.7248,0.0024
1989-11-30,4.7282,4.7273,4.7282,4.7273,0.0004
1989-12-01,4.7074,4.7066,4.7074,4.7066,-0.0044
1989-12-04,4.702,4.7011,4.702,4.7011,-0.0011
1989-12-05,4.7019,4.7006,4.7019,4.7006,-0.0
1989-12-06,4.6934,4.6926,4.6934,4.6926,-0.0018
1989-12-07,4.6865,4.6857,4.6865,4.6857,-0.0015
1989-12-08,4.6879,4.6863,4.6879,4.6863,0.0003
1989-12-11,4.6883,4.6875,4.6883,4.6875,0.0001
1989-12-12,4.7003,4.6995,4.7003,4.6995,0.0026
1989-12-13,4.6869,4.6861,4.6869,4.6861,-0.0029
1989-12-14,4.6903,4.6886,4.6903,4.6886,0.0007000000000000001
1989-12-15,4.6998,4.6981,4.6998,4.6981,0.002
1989-12-18,4.724,4.7224,4.724,4.7224,0.0051
1989-12-19,4.7156,4.7148,4.7156,4.7148,-0.0018
