Date,Close,Open,High,Low,Change
2016-10-12,1.615,1.615,1.615,1.615,-0.0212
2016-10-13,1.565,1.565,1.565,1.565,-0.031
2016-10-14,1.595,1.595,1.595,1.595,0.0192
2016-10-17,1.675,1.675,1.675,1.675,0.050199999999999995
2016-10-18,1.655,1.655,1.655,1.655,-0.011899999999999999
2016-10-19,1.661,1.66,1.661,1.66,0.0036
2016-10-20,1.655,1.655,1.655,1.655,-0.0036
2016-10-21,1.677,1.677,1.677,1.677,0.013300000000000001
2016-10-24,1.649,1.65,1.65,1.649,-0.0167
2016-10-25,1.68,1.68,1.68,1.68,0.018799999999999997
2016-10-26,1.691,1.692,1.692,1.691,0.006500000000000001
2016-10-27,1.71,1.71,1.71,1.71,0.011200000000000002
2016-10-28,1.782,1.782,1.782,1.782,0.0421
2016-10-31,1.755,1.755,1.755,1.755,-0.0152
2016-11-01,1.817,1.817,1.817,1.817,0.0353
2016-11-02,1.79,1.79,1.79,1.79,-0.0149
2016-11-03,1.778,1.777,1.778,1.777,-0.0067
2016-11-04,1.811,1.812,1.812,1.811,0.018600000000000002
2016-11-07,1.825,1.825,1.825,1.825,0.0077
2016-11-08,1.81,1.81,1.81,1.81,-0.008199999999999999
2016-11-09,1.761,1.76,1.761,1.76,-0.0271
2016-11-10,1.958,1.957,1.958,1.957,0.1119
2016-11-11,2.052,2.052,2.052,2.052,0.048
2016-11-14,2.223,2.222,2.224,2.222,0.0833
2016-11-15,2.145,2.142,2.145,2.142,-0.0351
2016-11-16,2.223,2.222,2.223,2.222,0.0364
2016-11-17,2.142,2.142,2.142,2.142,-0.0364
2016-11-18,2.222,2.222,2.222,2.222,0.0373
2016-11-21,2.232,2.232,2.232,2.232,0.0045000000000000005
2016-11-22,2.242,2.242,2.242,2.242,0.0045000000000000005
2016-11-23,2.212,2.212,2.212,2.212,-0.0134
2016-11-24,2.272,2.272,2.272,2.272,0.0271
2016-11-25,2.253,2.252,2.253,2.252,-0.0084
2016-11-28,2.196,2.253,2.253,2.196,-0.0253
2016-11-29,2.155,2.157,2.157,2.155,-0.0187
2016-11-30,2.144,2.145,2.145,2.143,-0.0051
2016-12-01,2.2,2.2,2.2,2.2,0.026099999999999998
2016-12-02,2.265,2.265,2.265,2.265,0.029500000000000002
2016-12-05,2.18,2.18,2.18,2.18,-0.0375
2016-12-06,2.187,2.187,2.187,2.187,0.0032
2016-12-07,2.185,2.185,2.185,2.185,-0.0009
2016-12-08,2.159,2.16,2.16,2.159,-0.011899999999999999
2016-12-09,2.181,2.18,2.181,2.18,0.0102
2016-12-12,2.237,2.237,2.237,2.237,0.025699999999999997
2016-12-13,2.2,2.2,2.2,2.2,-0.0165
2016-12-14,2.136,2.137,2.137,2.136,-0.0291
2016-12-15,2.19,2.19,2.19,2.19,0.0253
2016-12-16,2.185,2.185,2.185,2.185,-0.0023
2016-12-19,2.215,2.215,2.215,2.215,0.0137
2016-12-20,2.215,2.215,2.215,2.215,0.0
2016-12-21,2.129,2.215,2.215,2.129,-0.0388
2016-12-22,2.152,2.152,2.152,2.152,0.0108
2016-12-23,2.185,2.185,2.185,2.185,0.015300000000000001
2016-12-26,2.185,2.185,2.185,2.185,0.0
2016-12-27,2.205,2.205,2.205,2.205,0.0092
2016-12-28,2.175,2.175,2.175,2.175,-0.013600000000000001
2016-12-29,2.195,2.195,2.195,2.195,0.0092
2016-12-30,2.195,2.195,2.195,2.195,0.0
2017-01-02,2.16,2.16,2.16,2.16,-0.0159
2017-01-03,2.185,2.185,2.185,2.185,0.0116
2017-01-04,2.18,2.18,2.18,2.18,-0.0023
2017-01-05,2.15,2.15,2.15,2.15,-0.0138
2017-01-06,2.185,2.185,2.185,2.185,0.0163
2017-01-09,2.198,2.197,2.198,2.197,0.0059
2017-01-10,2.152,2.152,2.152,2.152,-0.0209
