Date,Close,Open,High,Low,Volume,Change
2011-10-31,4065.93,4085.31,4135.22,4047.04,73540.0,-0.0097
2011-11-01,4064.16,4027.01,4101.32,4026.68,66100.0,-0.0004
2011-11-02,4033.74,3981.85,4038.3,3957.0,76570.0,-0.0075
2011-11-03,3969.43,4022.96,4022.96,3952.7,82000.0,-0.0159
2011-11-04,4103.12,4061.17,4105.07,4047.64,77920.0,0.0337
2011-11-07,4080.22,4107.62,4107.62,4066.9,62160.0,-0.005600000000000001
2011-11-08,4042.24,4098.78,4100.56,4034.63,58460.0,-0.009300000000000001
2011-11-09,4061.94,4094.52,4103.74,4040.09,73570.0,0.0049
2011-11-10,3845.53,3962.11,3967.45,3845.53,91830.0,-0.0533
2011-11-11,3962.31,3904.89,3962.71,3864.69,67770.0,0.0304
2011-11-14,4043.15,4017.12,4056.38,4016.68,61200.0,0.0204
2011-11-15,4008.26,4010.05,4036.08,3988.35,60350.0,-0.0086
2011-11-16,3940.09,4033.33,4064.65,3931.23,69550.0,-0.017
2011-11-17,3976.85,3952.53,3981.72,3889.71,55650.0,0.009300000000000001
2011-11-18,3888.06,3894.79,3921.36,3877.3,55900.0,-0.0223
2011-11-21,3843.49,3872.02,3872.02,3822.07,47370.0,-0.0115
2011-11-22,3864.63,3798.87,3876.29,3797.26,47850.0,0.0055000000000000005
2011-11-23,3765.96,3848.43,3850.46,3760.94,54770.0,-0.0255
2011-11-24,3794.64,3750.71,3809.82,3740.67,51150.0,0.0076
2011-11-25,3760.91,3758.98,3785.46,3739.71,52180.0,-0.0089
2011-11-28,3851.63,3825.49,3856.59,3806.33,50460.0,0.0241
2011-11-29,3947.89,3882.36,3950.6,3871.34,73040.0,0.025
2011-11-30,3925.77,3925.52,3947.12,3907.61,63770.0,-0.005600000000000001
2011-12-01,4092.43,4071.74,4115.44,4066.17,110670.0,0.0425
2011-12-02,4087.76,4088.0,4100.88,4068.11,56650.0,-0.0011
2011-12-05,4104.74,4114.89,4117.78,4078.6,43220.0,0.0042
2011-12-06,4061.57,4085.63,4101.23,4035.03,52690.0,-0.0105
2011-12-07,4095.03,4087.25,4104.56,4065.8,56330.0,0.008199999999999999
2011-12-08,4074.7,4073.21,4109.31,4045.02,72410.0,-0.005
2011-12-09,3987.44,4008.62,4034.19,3983.37,57430.0,-0.021400000000000002
2011-12-12,4044.94,4048.59,4051.99,4019.67,52260.0,0.0144
2011-12-13,3956.84,3994.79,4001.59,3956.84,51700.0,-0.0218
2011-12-14,3935.05,3926.2,3956.79,3924.55,39550.0,-0.0055000000000000005
2011-12-15,3842.35,3883.54,3896.64,3838.66,55150.0,-0.0236
2011-12-16,3902.22,3861.15,3906.9,3852.44,44920.0,0.015600000000000001
2011-12-19,3779.28,3878.94,3879.72,3711.28,75500.0,-0.0315
2011-12-20,3809.46,3811.41,3821.16,3787.19,47660.0,0.008
2011-12-21,3937.88,3910.0,3943.49,3895.69,58770.0,0.0337
2011-12-22,3938.51,3921.4,3938.92,3908.53,29000.0,0.0002
2011-12-23,3980.8,3966.19,3993.64,3962.57,43510.0,0.010700000000000001
2011-12-26,3955.47,3992.29,3994.97,3946.67,29380.0,-0.0064
2011-12-27,3927.02,3956.06,3976.64,3854.4,45110.0,-0.0072
2011-12-28,3883.33,3903.28,3903.28,3869.35,35930.0,-0.0111
