Date,Close,Open,High,Low,Volume,Change
2017-06-05,35650,33650,36950,33600,185180.0,0.061
2017-06-06,35500,35650,36650,34700,105160.0,-0.0042
2017-06-07,34500,35500,35950,34100,89520.0,-0.0282
2017-06-08,34900,34500,35600,33700,122520.0,0.0116
2017-06-09,34250,34900,35900,34100,100910.0,-0.018600000000000002
2017-06-10,33900,34250,34750,33000,109530.0,-0.0102
2017-06-11,37250,33900,37950,33500,517140.0,0.09880000000000001
2017-06-12,34500,37100,37300,33450,259290.00000000003,-0.0738
2017-06-13,35550,34500,36550,34000,255520.0,0.0304
2017-06-14,35300,35550,36400,34100,315450.0,-0.006999999999999999
2017-06-15,36100,35350,36150,31550,310120.0,0.0227
2017-06-16,43400,36100,44750,35600,1400000.0,0.2022
2017-06-17,56050,43550,59250,43050,4500000.0,0.2915
2017-06-18,54000,56000,56450,48800,2000000.0,-0.0366
2017-06-19,59900,54000,64900,53150,4080000.0,0.1093
2017-06-20,57700,59750,61500,54400,1300000.0,-0.036699999999999997
2017-06-21,57050,57750,60450,54000,1220000.0,-0.0113
2017-06-22,59000,57000,59750,56100,755340.0,0.0342
2017-06-23,58150,59050,59350,57950,306450.0,-0.0144
2017-06-24,55350,58100,58250,54900,376800.0,-0.0482
2017-06-25,54800,55350,57850,46900,526510.0,-0.009899999999999999
2017-06-26,51900,54750,55950,44000,807990.0,-0.0529
2017-06-27,49550,51800,55000,41650,996200.0,-0.0453
2017-06-28,51050,49700,52750,46700,707550.0,0.030299999999999997
2017-06-29,49000,51300,51300,46900,521179.99999999994,-0.04019999999999999
2017-06-30,49350,48400,50200,48100,160340.0,0.0070999999999999995
2017-07-01,48050,49300,49450,47000,139640.0,-0.0263
2017-07-02,49500,48050,50290,45600,224580.0,0.0302
2017-07-03,54820,49500,58110,48660,1340000.0,0.1075
2017-07-04,68200,54810,69160,54670,3230000.0,0.2441
2017-07-05,62900,68300,68880,59400,2910000.0,-0.07769999999999999
2017-07-06,60820,62890,62910,59090,1090000.0,-0.0331
2017-07-07,56050,60820,60820,55190,1430000.0,-0.0784
2017-07-08,61330,56030,62650,51570,2200000.0,0.0942
2017-07-09,58780,61450,62580,58220,1240000.0,-0.0416
2017-07-10,56130,58630,59520,51700,1290000.0,-0.0451
2017-07-11,54090,55990,57270,49750,1420000.0,-0.0363
2017-07-12,56870,54050,57900,52300,1110000.0,0.051399999999999994
2017-07-13,54530,56900,57500,53280,521549.99999999994,-0.041100000000000005
2017-07-14,50670,54500,54600,48610,575790.0,-0.0708
2017-07-15,42500,50670,50740,39210,1140000.0,-0.1612
2017-07-16,46380,42500,50490,34190,1740000.0,0.0913
2017-07-17,49350,46460,50390,43220,1360000.0,0.064
2017-07-18,51710,49350,54400,47020,1040000.0,0.0478
2017-07-19,46980,51730,51810,44090,548790.0,-0.0915
2017-07-20,51290,46980,52720,46720,781150.0,0.0917
2017-07-21,50910,51300,54700,49100,686950.0,-0.0074
2017-07-22,51260,50910,51880,50000,184790.0,0.0069
2017-07-23,49740,51260,51420,48630,378910.0,-0.0297
2017-07-24,49880,49740,50880,48860,264070.0,0.0028000000000000004
2017-07-25,47990,49880,50630,45600,584080.0,-0.0379
2017-07-26,47380,48000,48600,45660,264740.0,-0.0127
2017-07-27,47080,47380,47500,46590,130550.00000000001,-0.0063
2017-07-28,46230,47080,47500,45780,205910.0,-0.0181
2017-07-29,46170,46240,47380,43120,278990.0,-0.0013
2017-07-30,46100,46290,47200,44700,235210.0,-0.0015
2017-07-31,49810,46050,51850,44900,1180000.0,0.0805
2017-08-01,48700,49850,50090,47070,744710.0,-0.0223
2017-08-02,47600,48690,49120,47170,301270.0,-0.0226
2017-08-03,48380,47600,48900,47600,267780.0,0.016399999999999998
2017-08-04,48940,48380,48950,47710,438280.0,0.0116
2017-08-05,52420,48940,52870,48740,899570.0,0.0711
2017-08-06,51000,52410,53450,50860,324920.0,-0.0271
2017-08-07,51750,51030,52450,50450,186310.0,0.0147
2017-08-08,55370,51750,58200,51360,593560.0,0.07
2017-08-09,54080,55350,56890,52100,636420.0,-0.0233
2017-08-10,53300,54080,54990,53300,159500.0,-0.0144
2017-08-11,54200,53200,54400,53070,267770.0,0.0169
2017-08-12,53450,54200,54200,53100,162770.0,-0.0138
2017-08-13,52740,53300,55600,51500,332370.0,-0.013300000000000001
2017-08-14,52360,52740,53570,51900,123040.0,-0.0072
2017-08-15,50190,52360,52360,48760,296190.0,-0.0414
2017-08-16,50150,50170,53490,49100,348460.0,-0.0008
2017-08-17,49550,50150,51300,49490,287380.0,-0.012
2017-08-18,54000,49550,55600,49060,1340000.0,0.0898
2017-08-19,51650,53700,55200,49920,881330.0,-0.0435
2017-08-20,52990,51810,54940,51430,585580.0,0.0259
2017-08-21,53840,52960,54940,51910,521100.0,0.016
2017-08-22,52740,53700,53850,50110,443450.0,-0.0204
2017-08-23,61010,52620,64000,51970,1920000.0,0.1568
2017-08-24,55810,61410,61480,55810,1410000.0,-0.0852
2017-08-25,57350,55900,58800,55650,536810.0,0.0276
2017-08-26,58740,57470,59990,56780,623180.0,0.0242
2017-08-27,68500,58740,73510,58280,3480000.0,0.16620000000000001
2017-08-28,69780,68490,73270,66110,2160000.0,0.0187
2017-08-29,70530,69620,70980,68120,520110.0,0.010700000000000001
2017-08-30,72000,70400,72300,68080,354440.0,0.0208
2017-08-31,79750,71720,83000,71120,1700000.0,0.1076
2017-09-01,95380,79570,98760,78010,3920000.0,0.196
2017-09-02,88360,95290,106600,78610,4200000.0,-0.0736
2017-09-03,87050,88290,94650,83350,2690000.0,-0.0148
2017-09-04,76200,87250,87820,71560,3000000.0,-0.1246
2017-09-05,82310,76400,84460,67210,3930000.0,0.0802
2017-09-06,89120,82320,89760,81600,2540000.0,0.0827
2017-09-07,88150,89100,91650,85010,1430000.0,-0.0109
2017-09-08,83400,88100,89800,78500,1760000.0,-0.053899999999999997
2017-09-09,79680,83360,83730,77620,1070000.0,-0.0446
2017-09-10,75500,79520,79640,69420,1460000.0,-0.0525
2017-09-11,77080,75840,82110,74500,1330000.0,0.0209
2017-09-12,74390,77120,79800,72990,1130000.0,-0.0349
2017-09-13,71000,74420,75220,68200,1880000.0,-0.045599999999999995
2017-09-14,47470,71080,71990,46360,3310000.0,-0.33140000000000003
2017-09-15,58440,47310,63810,38140,8210000.000000001,0.2311
2017-09-16,57810,58530,63000,54980,2870000.0,-0.0108
2017-09-17,56590,57820,58600,53280,1480000.0,-0.021099999999999997
2017-09-18,61310,56590,61920,56590,1790000.0,0.0834
2017-09-19,59230,61310,61460,56190,1090000.0,-0.0339
2017-09-20,58200,59290,59940,57900,546940.0,-0.0174
2017-09-21,53000,58160,59270,51730,1160000.0,-0.08929999999999999
2017-09-22,55170,52880,58200,51260,1280000.0,0.0409
2017-09-23,55520,55040,56210,52790,914030.0,0.0063
2017-09-24,53610,55590,55750,53560,366850.0,-0.0344
2017-09-25,57300,53630,58250,53510,1350000.0,0.0688
2017-09-26,57680,57240,60640,57110,1410000.0,0.0066
2017-09-27,62810,57680,62970,57540,1140000.0,0.0889
2017-09-28,60140,62750,64080,57900,1130000.0,-0.0425
2017-09-29,59090,60100,60480,56300,863730.0,-0.0175
2017-09-30,62170,59150,62420,59040,587090.0,0.0521
2017-10-01,61570,62150,62380,60860,376210.0,-0.0097
2017-10-02,60950,61570,62640,60660,353330.0,-0.0101
2017-10-03,60420,60890,61400,58500,303390.0,-0.0087
2017-10-04,59520,60450,60870,58770,208390.0,-0.0149
2017-10-05,59030,59460,59700,58310,192490.0,-0.008199999999999999
2017-10-06,59850,59030,60160,58900,166200.0,0.0139
2017-10-07,59610,59850,59890,59120,122910.0,-0.004
2017-10-08,60460,59560,62200,59030,380750.0,0.0143
2017-10-09,57700,60470,61480,56000,341190.0,-0.045700000000000005
2017-10-10,58350,57720,59800,57200,236630.0,0.0113
2017-10-11,58200,58620,58870,57950,90680.0,-0.0026
2017-10-12,71250,58070,71250,58070,1410000.0,0.2242
2017-10-13,67690,71610,71700,63400,1390000.0,-0.05
2017-10-14,72230,67620,75400,66000,1150000.0,0.06709999999999999
2017-10-15,74200,72150,79870,69570,2650000.0,0.0273
2017-10-16,72410,74190,75020,69630,925230.0,-0.0241
2017-10-17,67700,72410,72590,66600,940350.0,-0.065
2017-10-18,69300,67700,71900,60540,1180000.0,0.0236
2017-10-19,67900,69270,69900,66810,602370.0,-0.0202
2017-10-20,68830,67900,69990,66640,438800.0,0.0137
2017-10-21,66740,68830,69560,65400,306600.0,-0.0304
2017-10-22,65670,66810,67440,65310,220300.0,-0.016
2017-10-23,64250,65580,66000,61750,400790.0,-0.0216
2017-10-24,64580,64360,67710,62580,521280.0,0.0051
2017-10-25,64850,64580,65040,62180,324770.0,0.0042
2017-10-26,63850,64850,64890,63520,173480.0,-0.0154
2017-10-27,63580,63850,65160,63410,238510.0,-0.0042
2017-10-28,62790,63580,64500,62680,218120.0,-0.0124
2017-10-29,64230,62690,65690,62110,511240.0,0.0229
2017-10-30,63560,64200,67380,63330,618150.0,-0.0104
2017-10-31,63500,63560,64300,63200,161040.0,-0.0009
2017-11-01,60710,63500,63680,60270,263430.0,-0.043899999999999995
2017-11-02,62990,60650,64160,58550,677120.0,0.037599999999999995
2017-11-03,63140,63040,64950,61300,517190.00000000006,0.0024
2017-11-04,61980,63150,63980,60250,220020.0,-0.0184
2017-11-05,61930,61980,63370,61770,254630.0,-0.0008
2017-11-06,62700,61990,64700,61700,590740.0,0.0124
2017-11-07,69510,62660,72400,62630,1970000.0,0.10859999999999999
2017-11-08,69810,69490,71950,67000,1090000.0,0.0043
2017-11-09,72340,69810,74890,69050,901640.0,0.0362
2017-11-10,67430,72340,73930,65010,990420.0,-0.0679
2017-11-11,70080,67450,74110,67020,1160000.0,0.0393
2017-11-12,68900,70090,70090,66560,806750.0,-0.0168
2017-11-13,69610,68990,73810,67920,963990.0,0.0103
2017-11-14,71220,69710,72540,69000,501510.0,0.0231
2017-11-15,72110,71220,74470,70200,655050.0,0.0125
2017-11-16,77450,72120,80790,70110,1400000.0,0.0741
2017-11-17,74340,77300,78290,72110,961490.0,-0.04019999999999999
2017-11-18,76440,74330,76900,72760,428020.0,0.0282
2017-11-19,77910,76450,79480,75200,541170.0,0.0192
2017-11-20,78100,77910,79480,77200,302610.0,0.0024
2017-11-21,76750,78150,79050,73000,484140.0,-0.0173
2017-11-22,78450,76800,78800,76700,294220.0,0.022099999999999998
2017-11-23,79750,78450,83400,77700,589660.0,0.0166
2017-11-24,86750,79900,87200,79700,417400.0,0.08779999999999999
2017-11-25,98800,86900,100080,85000,786390.0,0.1389
2017-11-26,94350,98650,99850,93100,636150.0,-0.045
2017-11-27,104300,94350,105400,94000,685820.0,0.10550000000000001
2017-11-28,113700,104100,114900,101750,491280.0,0.0901
2017-11-29,93900,113850,132000,91800,1250000.0,-0.1741
2017-11-30,103600,94000,108800,85300,631110.0,0.1033
2017-12-01,113050,103450,114800,96800,450560.0,0.09119999999999999
2017-12-02,116800,113050,120850,111600,382090.0,0.0332
2017-12-03,117000,116850,120000,114400,235160.0,0.0017000000000000001
2017-12-04,120800,117150,121450,114650,196470.0,0.0325
