Date,Close,Open,High,Low,Volume,Change
2016-08-24,3.84,3.95,3.96,3.61,21860.0,-0.0278
2016-08-25,3.81,3.84,3.88,3.75,21870.0,-0.0078000000000000005
2016-08-26,3.81,3.81,3.9,3.77,14350.0,0.0
2016-08-27,3.78,3.81,3.85,3.62,4910.0,-0.0079
2016-08-28,3.72,3.78,3.78,3.62,8189.999999999999,-0.0159
2016-08-29,3.77,3.72,3.84,3.7,3670.0,0.0134
2016-08-30,3.81,3.77,3.85,3.74,1580.0,0.0106
2016-08-31,3.74,3.81,3.85,3.74,1630.0,-0.0184
2016-09-01,3.66,3.74,3.9,3.26,15470.0,-0.021400000000000002
2016-09-02,3.84,3.66,4.35,3.65,11820.0,0.0492
2016-09-03,3.88,3.84,3.99,3.8,7480.0,0.0104
2016-09-04,4.02,3.88,4.08,3.85,4920.0,0.0361
2016-09-05,3.96,4.02,4.07,3.94,1940.0,-0.0149
2016-09-06,3.95,3.96,3.98,3.91,2770.0,-0.0025
2016-09-07,3.96,3.95,4.03,3.91,2160.0,0.0025
2016-09-08,4.01,3.96,4.03,3.95,350.0,0.0126
2016-09-09,3.96,4.01,4.02,3.94,1700.0,-0.0125
2016-09-10,3.96,3.96,4.0,3.95,80.0,0.0
2016-09-11,3.9,3.96,4.04,3.86,5010.0,-0.0152
2016-09-12,3.88,3.9,3.96,3.77,3610.0,-0.0051
2016-09-13,3.81,3.88,3.88,3.8,1450.0,-0.018000000000000002
2016-09-14,3.85,3.81,3.85,3.8,210.0,0.0105
2016-09-15,3.81,3.85,3.95,3.81,2620.0,-0.0104
2016-09-16,3.81,3.81,3.89,3.8,1410.0,0.0
2016-09-17,3.82,3.81,3.88,3.81,910.0,0.0026
2016-09-18,3.87,3.82,3.87,3.81,5450.0,0.0131
2016-09-19,3.86,3.87,3.93,3.8,1900.0,-0.0026
2016-09-20,4.0,3.86,4.0,3.76,11160.0,0.0363
2016-09-21,3.82,4.0,6.72,3.61,9970.0,-0.045
2016-09-22,3.79,3.76,5.05,3.76,10630.0,-0.0079
2016-09-23,3.83,3.79,4.2,3.77,3090.0,0.0106
2016-09-24,3.87,3.83,4.06,3.83,1210.0,0.0104
2016-09-25,3.8,3.87,3.87,3.8,1050.0,-0.0181
2016-09-26,3.92,3.8,4.0,3.79,3540.0,0.0316
2016-09-27,3.83,3.92,3.92,3.79,4210.0,-0.023
2016-09-28,3.81,3.83,3.9,3.79,1390.0,-0.0052
2016-09-29,3.86,3.81,3.88,3.81,440.0,0.0131
2016-09-30,3.81,3.86,3.87,3.8,4680.0,-0.013000000000000001
2016-10-01,3.85,3.81,3.86,3.81,1660.0,0.0105
2016-10-02,3.83,3.85,3.86,3.82,410.0,-0.0052
2016-10-03,3.83,3.83,3.94,3.83,3390.0,0.0
2016-10-04,3.85,3.83,3.9,3.81,9820.0,0.0052
2016-10-05,3.88,3.85,3.91,3.79,4820.0,0.0078000000000000005
2016-10-06,3.82,3.88,3.88,3.78,9510.0,-0.0155
2016-10-07,3.82,3.82,3.87,3.8,900.0,0.0
2016-10-08,3.86,3.82,3.88,3.8,1940.0,0.0105
2016-10-09,3.8,3.86,3.86,3.8,270.0,-0.0155
2016-10-10,3.79,3.84,3.84,3.79,2180.0,-0.0026
2016-10-11,3.83,3.79,3.84,3.75,2710.0,0.0106
2016-10-12,3.8,3.83,3.83,3.79,2880.0,-0.0078000000000000005
2016-10-13,3.83,3.8,3.93,3.8,10010.0,0.0079
2016-10-14,3.82,3.83,3.92,3.82,180.0,-0.0026
2016-10-15,3.92,3.82,3.94,3.82,390.0,0.0262
2016-10-16,3.88,3.92,3.94,3.86,90.0,-0.0102
2016-10-17,3.82,3.88,3.94,3.82,1100.0,-0.0155
2016-10-18,3.91,3.82,3.91,3.8,3060.0,0.0236
2016-10-19,3.79,3.91,3.91,3.79,4950.0,-0.030699999999999998
2016-10-20,3.8,3.79,3.81,3.78,1120.0,0.0026
2016-10-21,3.79,3.8,3.81,3.75,2390.0,-0.0026
2016-10-22,3.84,3.79,3.88,3.75,4550.0,0.0132
2016-10-23,3.88,3.84,3.89,3.7,5440.0,0.0104
2016-10-24,3.87,3.88,3.89,3.82,1940.0,-0.0026
2016-10-25,3.85,3.87,3.88,3.8,5320.0,-0.0052
2016-10-26,3.89,3.85,3.96,3.76,10510.0,0.0104
2016-10-27,3.99,3.89,4.14,3.89,5380.0,0.025699999999999997
2016-10-28,3.9,3.99,4.02,3.88,3170.0,-0.0226
2016-10-29,4.06,3.9,4.24,3.9,5600.0,0.040999999999999995
2016-10-30,3.93,4.06,4.25,3.93,3310.0,-0.032
2016-10-31,3.98,3.93,4.07,3.92,1160.0,0.0127
2016-11-01,4.02,3.98,4.5,3.92,11580.0,0.0101
2016-11-02,4.07,4.02,4.35,3.99,5860.0,0.0124
2016-11-03,3.9,4.07,4.34,3.8,22550.0,-0.0418
2016-11-04,3.88,3.9,3.98,3.77,10900.0,-0.0051
2016-11-05,3.87,3.88,3.94,3.86,1160.0,-0.0026
2016-11-06,3.91,3.87,3.93,3.85,240.0,0.0103
2016-11-07,3.88,3.91,3.92,3.83,2280.0,-0.0077
2016-11-08,3.91,3.88,3.91,3.84,2029.9999999999998,0.0077
2016-11-09,3.98,3.91,3.99,3.77,8910.0,0.0179
2016-11-10,3.8,3.98,3.98,3.79,1280.0,-0.0452
2016-11-11,3.8,3.8,3.86,3.79,680.0,0.0
2016-11-12,3.75,3.8,3.85,3.72,9760.0,-0.0132
2016-11-13,3.86,3.75,3.94,3.65,14410.0,0.029300000000000003
2016-11-14,3.87,3.86,3.91,3.81,710.0,0.0026
2016-11-15,3.92,3.87,3.96,3.84,4400.0,0.0129
2016-11-16,3.92,3.92,4.06,3.86,10600.0,0.0
2016-11-17,3.9,3.92,3.96,3.81,10390.0,-0.0051
2016-11-18,3.87,3.9,3.95,3.85,1700.0,-0.0077
2016-11-19,3.92,3.87,3.99,3.85,1100.0,0.0129
2016-11-20,3.89,3.92,3.99,3.86,710.0,-0.0077
2016-11-21,3.93,3.89,3.93,3.87,560.0,0.0103
2016-11-22,3.9,3.93,3.99,3.88,3700.0,-0.0076
2016-11-23,3.86,3.9,3.97,3.86,1490.0,-0.0103
2016-11-24,3.9,3.86,3.93,3.86,820.0,0.0104
2016-11-25,3.87,3.9,3.91,3.85,680.0,-0.0077
2016-11-26,3.86,3.87,3.91,3.81,5480.0,-0.0026
2016-11-27,3.87,3.86,3.89,3.82,460.0,0.0026
2016-11-28,3.84,3.87,3.92,3.81,4380.0,-0.0078000000000000005
2016-11-29,3.83,3.84,3.91,3.81,3110.0,-0.0026
2016-11-30,3.84,3.83,3.98,3.51,7890.0,0.0026
2016-12-01,3.88,3.84,3.89,3.84,710.0,0.0104
2016-12-02,3.94,3.88,3.94,3.87,1790.0,0.0155
2016-12-03,3.9,3.94,3.94,3.87,430.0,-0.0102
2016-12-04,3.89,3.9,3.92,3.86,680.0,-0.0026
2016-12-05,3.58,3.89,3.89,3.32,21260.0,-0.0797
2016-12-06,3.5,3.58,3.58,3.42,430.0,-0.0223
2016-12-07,3.67,3.51,3.86,3.5,4620.0,0.048600000000000004
2016-12-08,3.65,3.67,3.77,3.63,7990.0,-0.0054
2016-12-09,3.74,3.65,3.74,3.61,1120.0,0.024700000000000003
